time,left_gate,right_gate,delta
0.09,107.22,75.91,31.310000000000002
0.09,106.25,75.01,31.239999999999995
0.09,106.21,74.98,31.22999999999999
0.09,106.12,74.9,31.22
0.09,106.09,74.89,31.200000000000003
0.09,106.1,74.9,31.19999999999999
0.09,106.08,74.89,31.189999999999998
0.09,106.27,75.07,31.200000000000003
0.09,106.21,75.01,31.19999999999999
0.09,106.08,74.89,31.189999999999998
0.09,106.06,74.87,31.189999999999998
0.1,107.16,75.87,31.289999999999992
0.1,106.21,74.97,31.239999999999995
0.1,106.18,74.96,31.220000000000013
0.1,106.1,74.89,31.209999999999994
0.1,106.1,74.89,31.209999999999994
0.1,106.1,74.89,31.209999999999994
0.1,106.1,74.89,31.209999999999994
0.1,106.29,75.04,31.25
0.1,106.28,75.02,31.260000000000005
0.1,106.23,74.98,31.25
0.1,106.15,74.89,31.260000000000005
0.11,107.23,75.89,31.340000000000003
0.11,106.26,74.99,31.27000000000001
0.11,106.22,74.97,31.25
0.11,106.14,74.89,31.25
0.11,106.12,74.87,31.25
0.11,106.13,74.87,31.25999999999999
0.11,106.11,74.86,31.25
0.11,106.31,75.04,31.269999999999996
0.11,106.24,74.97,31.269999999999996
0.11,106.11,74.85,31.260000000000005
0.11,106.1,74.85,31.25
0.12,107.2,75.85,31.35000000000001
0.12,106.25,74.96,31.290000000000006
0.12,106.21,74.94,31.269999999999996
0.12,106.14,74.87,31.269999999999996
0.12,106.14,74.86,31.28
0.12,106.15,74.85,31.30000000000001
0.12,106.15,74.85,31.30000000000001
0.12,106.35,75.03,31.319999999999993
0.12,106.29,74.97,31.320000000000007
0.12,106.17,74.86,31.310000000000002
0.12,106.16,74.85,31.310000000000002
0.13,107.26,75.85,31.41000000000001
0.13,106.29,74.95,31.340000000000003
0.13,106.25,74.92,31.33
0.13,106.16,74.84,31.319999999999993
0.13,106.14,74.83,31.310000000000002
0.13,106.14,74.83,31.310000000000002
0.13,106.13,74.83,31.299999999999997
0.13,106.28,74.98,31.299999999999997
0.13,106.27,74.97,31.299999999999997
0.13,106.14,74.85,31.290000000000006
0.13,106.01,74.73,31.28
0.14,107.1,75.74,31.36
0.14,106.14,74.85,31.290000000000006
0.14,106.11,74.83,31.28
0.14,106.04,74.76,31.28
0.14,106.03,74.76,31.269999999999996
0.14,106.04,74.76,31.28
0.14,106.04,74.76,31.28
0.14,106.25,74.94,31.310000000000002
0.14,106.19,74.88,31.310000000000002
0.14,106.08,74.76,31.319999999999993
0.14,106.08,74.76,31.319999999999993
0.15,107.17,75.76,31.409999999999997
0.15,106.2,74.86,31.340000000000003
0.15,106.16,74.84,31.319999999999993
0.15,106.07,74.77,31.299999999999997
0.15,106.05,74.77,31.28
0.15,106.06,74.77,31.290000000000006
0.15,106.03,74.75,31.28
0.15,106.21,74.93,31.279999999999987
0.15,106.15,74.87,31.28
0.15,106.02,74.75,31.269999999999996
0.15,106.0,74.75,31.25
0.16,107.1,75.76,31.33999999999999
0.16,106.14,74.86,31.28
0.16,106.11,74.84,31.269999999999996
0.16,106.05,74.77,31.28
0.16,106.05,74.78,31.269999999999996
0.16,106.05,74.77,31.28
0.16,106.04,74.76,31.28
0.16,106.21,74.91,31.299999999999997
0.16,106.23,74.91,31.320000000000007
0.16,106.18,74.85,31.330000000000013
0.16,106.09,74.76,31.33
0.17,107.17,75.76,31.409999999999997
0.17,106.2,74.86,31.340000000000003
0.17,106.16,74.83,31.33
0.17,106.07,74.75,31.319999999999993
0.17,106.05,74.75,31.299999999999997
0.17,106.06,74.75,31.310000000000002
0.17,106.04,74.74,31.30000000000001
0.17,106.24,74.91,31.33
0.17,106.17,74.85,31.320000000000007
0.17,106.04,74.73,31.310000000000002
0.17,106.02,74.73,31.289999999999992
0.18,107.12,75.73,31.39
0.18,106.16,74.84,31.319999999999993
0.18,106.12,74.82,31.30000000000001
0.18,106.05,74.76,31.289999999999992
0.18,106.04,74.75,31.290000000000006
0.18,106.05,74.75,31.299999999999997
0.18,106.04,74.74,31.30000000000001
0.18,106.25,74.92,31.33
0.18,106.19,74.85,31.340000000000003
0.18,106.07,74.73,31.33999999999999
0.18,106.06,74.72,31.340000000000003
0.19,107.15,75.73,31.42
0.19,106.18,74.84,31.340000000000003
0.19,106.14,74.82,31.320000000000007
0.19,106.05,74.74,31.310000000000002
0.19,106.05,74.74,31.310000000000002
0.19,106.04,74.73,31.310000000000002
0.19,106.04,74.73,31.310000000000002
0.19,106.18,74.87,31.310000000000002
0.19,106.17,74.87,31.299999999999997
0.19,106.12,74.82,31.30000000000001
0.19,106.02,74.73,31.289999999999992
0.2,107.1,75.73,31.36999999999999
0.2,106.16,74.84,31.319999999999993
0.2,106.12,74.83,31.290000000000006
0.2,106.05,74.77,31.28
0.2,106.05,74.77,31.28
0.2,106.05,74.77,31.28
0.2,106.03,74.78,31.25
0.2,106.23,74.96,31.27000000000001
0.2,106.17,74.9,31.269999999999996
0.2,106.06,74.79,31.269999999999996
0.2,106.06,74.79,31.269999999999996
0.21,107.15,75.79,31.36
0.21,106.18,74.89,31.290000000000006
0.21,106.13,74.86,31.269999999999996
0.21,106.05,74.79,31.25999999999999
0.21,106.04,74.79,31.25
0.21,106.04,74.79,31.25
0.21,106.02,74.79,31.22999999999999
0.21,106.2,74.97,31.230000000000004
0.21,106.15,74.91,31.24000000000001
0.21,106.02,74.79,31.22999999999999
0.21,106.01,74.78,31.230000000000004
0.22,107.12,75.79,31.33
0.22,106.16,74.89,31.269999999999996
0.22,106.13,74.87,31.25999999999999
0.22,106.05,74.8,31.25
0.22,106.05,74.8,31.25
0.22,106.05,74.79,31.25999999999999
0.22,106.05,74.79,31.25999999999999
0.22,106.2,74.92,31.28
0.22,106.23,74.93,31.299999999999997
0.22,106.17,74.87,31.299999999999997
0.22,106.08,74.78,31.299999999999997
0.23,107.16,75.78,31.379999999999995
0.23,106.19,74.87,31.319999999999993
0.23,106.15,74.85,31.30000000000001
0.23,106.06,74.77,31.290000000000006
0.23,106.04,74.77,31.27000000000001
0.23,106.03,74.76,31.269999999999996
0.23,106.02,74.75,31.269999999999996
0.23,106.2,74.93,31.269999999999996
0.23,106.14,74.87,31.269999999999996
0.23,106.02,74.75,31.269999999999996
0.23,106.0,74.74,31.260000000000005
0.24,107.1,75.74,31.36
0.24,106.15,74.85,31.30000000000001
0.24,106.11,74.83,31.28
0.24,106.03,74.76,31.269999999999996
0.24,106.02,74.75,31.269999999999996
0.24,106.03,74.74,31.290000000000006
0.24,106.03,74.74,31.290000000000006
0.24,106.24,74.93,31.309999999999988
0.24,106.19,74.86,31.33
0.24,106.06,74.73,31.33
0.24,106.05,74.72,31.33
0.25,107.15,75.72,31.430000000000007
0.25,106.18,74.82,31.360000000000014
0.25,106.14,74.8,31.340000000000003
0.25,106.05,74.73,31.319999999999993
0.25,106.03,74.73,31.299999999999997
0.25,106.03,74.72,31.310000000000002
0.25,106.03,74.72,31.310000000000002
0.25,106.17,74.85,31.320000000000007
0.25,106.18,74.86,31.320000000000007
0.25,106.11,74.8,31.310000000000002
0.25,106.01,74.71,31.30000000000001
0.26,107.1,75.71,31.39
0.26,106.16,74.82,31.340000000000003
0.26,106.12,74.8,31.320000000000007
0.26,106.05,74.73,31.319999999999993
0.26,106.04,74.73,31.310000000000002
0.26,106.05,74.73,31.319999999999993
0.26,106.05,74.73,31.319999999999993
0.26,106.24,74.91,31.33
0.26,106.18,74.86,31.320000000000007
0.26,106.07,74.74,31.33
0.26,106.07,74.74,31.33
0.27,107.17,75.74,31.430000000000007
0.27,106.2,74.84,31.36
0.27,106.16,74.8,31.36
0.27,106.08,74.73,31.349999999999994
0.27,106.06,74.72,31.340000000000003
0.27,106.06,74.72,31.340000000000003
0.27,106.05,74.72,31.33
0.27,106.25,74.89,31.36
0.27,106.17,74.82,31.35000000000001
0.27,106.05,74.71,31.340000000000003
0.27,106.03,74.71,31.320000000000007
0.28,107.14,75.72,31.42
0.28,106.19,74.82,31.370000000000005
0.28,106.16,74.79,31.36999999999999
0.28,106.09,74.72,31.370000000000005
0.28,106.08,74.72,31.36
0.28,106.07,74.71,31.36
0.28,106.07,74.71,31.36
0.28,106.2,74.84,31.36
0.28,106.24,74.86,31.379999999999995
0.28,106.18,74.8,31.38000000000001
0.28,106.09,74.71,31.38000000000001
0.29,107.18,75.71,31.470000000000013
0.29,106.22,74.81,31.409999999999997
0.29,106.17,74.78,31.39
0.29,106.09,74.7,31.39
0.29,106.07,74.69,31.379999999999995
0.29,106.06,74.68,31.379999999999995
0.29,106.05,74.68,31.36999999999999
0.29,106.25,74.85,31.400000000000006
0.29,106.19,74.79,31.39999999999999
0.29,106.06,74.68,31.379999999999995
0.29,106.04,74.67,31.370000000000005
0.3,107.13,75.67,31.459999999999994
0.3,106.18,74.78,31.400000000000006
0.3,106.14,74.76,31.379999999999995
0.3,106.06,74.69,31.370000000000005
0.3,106.04,74.68,31.36
0.3,106.05,74.68,31.36999999999999
0.3,106.05,74.68,31.36999999999999
0.3,106.25,74.86,31.39
0.3,106.2,74.8,31.400000000000006
0.3,106.07,74.68,31.389999999999986
0.3,106.06,74.67,31.39
0.31,107.15,75.68,31.47
0.31,106.18,74.79,31.39
0.31,106.14,74.77,31.370000000000005
0.31,106.05,74.71,31.340000000000003
0.31,106.05,74.71,31.340000000000003
0.31,106.04,74.7,31.340000000000003
0.31,106.03,74.7,31.33
0.31,106.15,74.83,31.320000000000007
0.31,106.18,74.86,31.320000000000007
0.31,106.11,74.79,31.319999999999993
0.31,106.01,74.7,31.310000000000002
0.32,107.1,75.7,31.39999999999999
0.32,106.16,74.81,31.349999999999994
0.32,106.12,74.79,31.33
0.32,106.05,74.72,31.33
0.32,106.03,74.72,31.310000000000002
0.32,106.04,74.72,31.320000000000007
0.32,106.04,74.72,31.320000000000007
0.32,106.23,74.9,31.33
0.32,106.18,74.84,31.340000000000003
0.32,106.07,74.73,31.33999999999999
0.32,106.06,74.72,31.340000000000003
0.33,107.16,75.73,31.429999999999993
0.33,106.19,74.83,31.36
0.33,106.14,74.8,31.340000000000003
0.33,106.06,74.73,31.33
0.33,106.05,74.74,31.310000000000002
0.33,106.05,74.75,31.299999999999997
0.33,106.03,74.75,31.28
0.33,106.21,74.93,31.279999999999987
0.33,106.15,74.87,31.28
0.33,106.02,74.76,31.25999999999999
0.33,106.01,74.76,31.25
0.34,107.11,75.77,31.340000000000003
0.34,106.16,74.87,31.289999999999992
0.34,106.12,74.85,31.27000000000001
0.34,106.05,74.79,31.25999999999999
0.34,106.05,74.79,31.25999999999999
0.34,106.05,74.78,31.269999999999996
0.34,106.05,74.78,31.269999999999996
0.34,106.19,74.91,31.28
0.34,106.24,74.94,31.299999999999997
0.34,106.17,74.87,31.299999999999997
0.34,106.08,74.78,31.299999999999997
0.35,107.17,75.78,31.39
0.35,106.19,74.88,31.310000000000002
0.35,106.14,74.86,31.28
0.35,106.06,74.79,31.269999999999996
0.35,106.04,74.79,31.25
0.35,106.04,74.78,31.260000000000005
0.35,106.01,74.77,31.24000000000001
0.35,106.2,74.95,31.25
0.35,106.14,74.89,31.25
0.35,106.01,74.77,31.24000000000001
0.35,106.0,74.76,31.239999999999995
0.36,107.09,75.76,31.33
0.36,106.14,74.87,31.269999999999996
0.36,106.1,74.85,31.25
0.36,106.02,74.79,31.22999999999999
0.36,106.01,74.78,31.230000000000004
0.36,106.02,74.78,31.239999999999995
0.36,106.01,74.78,31.230000000000004
0.36,106.22,74.96,31.260000000000005
0.36,106.15,74.9,31.25
0.36,106.03,74.79,31.239999999999995
0.36,106.03,74.78,31.25
0.37,107.12,75.78,31.340000000000003
0.37,106.15,74.89,31.260000000000005
0.37,106.11,74.87,31.239999999999995
0.37,106.02,74.8,31.22
0.37,106.0,74.8,31.200000000000003
0.37,106.0,74.79,31.209999999999994
0.37,105.99,74.79,31.19999999999999
0.37,106.12,74.91,31.210000000000008
0.37,106.17,74.95,31.22
0.37,106.09,74.88,31.210000000000008
0.37,105.99,74.79,31.19999999999999
0.38,107.08,75.79,31.289999999999992
0.38,106.12,74.89,31.230000000000004
0.38,106.09,74.88,31.210000000000008
0.38,106.02,74.81,31.209999999999994
0.38,106.02,74.8,31.22
0.38,106.02,74.79,31.22999999999999
0.38,106.02,74.79,31.22999999999999
0.38,106.22,74.97,31.25
0.38,106.17,74.91,31.260000000000005
0.38,106.05,74.79,31.25999999999999
0.38,106.05,74.77,31.28
0.39,107.15,75.78,31.370000000000005
0.39,106.19,74.88,31.310000000000002
0.39,106.14,74.85,31.290000000000006
0.39,106.07,74.78,31.289999999999992
