time,delta0,delta1,delta2,delta3,delta4,delta5,delta6,delta7
11401,12,-9,31,-37,64,-25,43,-20
11411,12,-9,31,-38,62,-25,42,-21
11421,12,-8,31,-37,63,-25,43,-20
11431,12,-8,30,-38,62,-25,42,-20
11441,12,-9,31,-38,63,-25,42,-20
11451,12,-8,31,-38,63,-26,42,-21
11461,12,-8,31,-37,62,-25,43,-20
11471,12,-7,30,-38,64,-25,42,-21
11481,12,-8,31,-36,62,-26,42,-20
11491,12,-8,31,-38,64,-25,42,-21
11501,12,-5,28,-38,63,-25,42,-20
11511,12,-7,30,-38,63,-25,41,-21
11521,12,-8,31,-37,63,-24,44,-20
11531,12,-8,31,-37,63,-26,41,-22
11541,12,-9,31,-37,66,-25,43,-20
11551,12,-7,30,-37,63,-25,42,-21
11561,12,-8,30,-39,63,-27,41,-20
11571,12,-8,31,-37,63,-26,42,-21
11581,12,-8,31,-38,63,-25,41,-20
11591,12,-7,30,-38,64,-25,42,-21
11601,12,-8,31,-38,62,-25,42,-20
11611,12,-7,30,-38,62,-26,42,-21
11621,12,-8,31,-37,63,-25,43,-20
11631,12,-8,30,-38,62,-25,42,-21
11641,12,-8,30,-38,62,-25,42,-20
11651,12,-7,30,-38,62,-24,41,-21
11661,12,-8,31,-38,64,-25,41,-20
11671,12,-8,31,-37,63,-25,41,-22
11681,12,-8,31,-37,62,-25,43,-20
11691,12,-7,30,-38,64,-25,42,-21
11701,11,-8,31,-37,63,-25,43,-20
11711,12,-8,31,-38,63,-25,43,-20
11721,12,-8,30,-38,64,-25,44,-20
11731,12,-7,29,-38,62,-25,42,-20
11741,12,-8,30,-37,62,-25,43,-20
11751,11,-9,31,-38,67,-24,42,-21
11761,13,-8,31,-39,64,-25,43,-20
11771,12,-8,30,-38,63,-25,42,-20
11781,12,-8,31,-38,62,-25,43,-20
11791,12,-8,31,-37,63,-25,43,-21
11801,12,-8,30,-39,62,-25,42,-18
11811,13,-8,31,-38,66,-26,43,-21
11821,12,-8,31,-38,66,-25,43,-20
11831,12,-8,31,-39,64,-25,43,-21
11841,12,-8,31,-38,64,-26,42,-20
11851,12,-7,30,-37,65,-25,42,-20
11861,12,-7,30,-38,63,-26,42,-20
11871,12,-8,31,-38,62,-25,43,-21
11881,12,-8,31,-37,64,-25,43,-20
