time,left_gate,right_gate,delta
0.09,113.44,81.37,32.06999999999999
0.09,112.52,80.54,31.97999999999999
0.09,112.5,80.55,31.950000000000003
0.1,113.51,81.48,32.03
0.1,113.51,81.46,32.05000000000001
0.1,113.44,81.38,32.06
0.1,113.43,81.38,32.05000000000001
0.1,113.35,81.3,32.05
0.1,113.47,81.41,32.06
0.1,113.53,81.47,32.06
0.1,113.44,81.39,32.05
0.1,112.46,80.49,31.97
0.1,112.52,80.56,31.959999999999994
0.11,113.53,81.49,32.040000000000006
0.11,113.53,81.47,32.06
0.11,113.46,81.4,32.05999999999999
0.11,113.45,81.4,32.05
0.11,113.44,81.38,32.06
0.11,113.47,81.4,32.06999999999999
0.11,113.5,81.42,32.08
0.11,113.46,81.4,32.05999999999999
0.11,112.56,80.59,31.97
0.11,112.56,80.6,31.960000000000008
0.12,113.56,81.52,32.040000000000006
0.12,113.58,81.52,32.06
0.12,113.56,81.5,32.06
0.12,113.49,81.43,32.05999999999999
0.12,113.46,81.41,32.05
0.12,113.49,81.44,32.05
0.12,113.52,81.47,32.05
0.12,113.34,81.3,32.040000000000006
0.12,112.33,80.38,31.950000000000003
0.12,112.31,80.39,31.92
0.121,112.29,80.37,31.92
0.13,113.29,81.27,32.02000000000001
0.13,113.31,81.27,32.040000000000006
0.13,113.23,81.2,32.03
0.13,113.18,81.16,32.02000000000001
0.13,113.35,81.3,32.05
0.13,113.34,81.29,32.05
0.13,113.41,81.36,32.05
0.13,113.35,81.3,32.05
0.13,112.35,80.38,31.97
0.13,112.34,80.39,31.950000000000003
0.131,112.33,80.37,31.959999999999994
0.14,113.3,81.26,32.03999999999999
0.14,113.27,81.2,32.06999999999999
0.14,113.23,81.16,32.07000000000001
0.14,113.14,81.09,32.05
0.14,113.15,81.11,32.040000000000006
0.14,113.23,81.19,32.040000000000006
0.14,113.23,81.19,32.040000000000006
0.14,112.23,80.28,31.950000000000003
0.14,112.22,80.29,31.929999999999993
0.14,112.31,80.38,31.930000000000007
0.15,113.29,81.26,32.03
0.15,113.26,81.2,32.06
0.15,113.22,81.16,32.06
0.15,113.16,81.11,32.05
0.15,113.21,81.17,32.03999999999999
0.15,113.22,81.18,32.03999999999999
0.15,113.22,81.18,32.03999999999999
0.15,112.22,80.27,31.950000000000003
0.15,112.22,80.28,31.939999999999998
0.15,112.32,80.37,31.94999999999999
0.16,113.29,81.26,32.03
0.16,113.26,81.21,32.05000000000001
0.16,113.22,81.17,32.05
0.16,113.16,81.11,32.05
0.16,113.21,81.18,32.02999999999999
0.16,113.22,81.2,32.019999999999996
0.16,113.22,81.21,32.010000000000005
0.16,112.21,80.29,31.919999999999987
0.16,112.16,80.27,31.89
0.16,112.27,80.38,31.89
0.17,113.26,81.29,31.97
0.17,113.28,81.3,31.980000000000004
0.17,113.16,81.19,31.97
0.17,113.07,81.12,31.94999999999999
0.17,113.07,81.13,31.939999999999998
0.17,113.1,81.15,31.94999999999999
0.17,113.16,81.21,31.950000000000003
0.17,112.16,80.3,31.86
0.17,112.17,80.32,31.85000000000001
0.17,112.27,80.42,31.849999999999994
0.18,113.24,81.31,31.929999999999993
0.18,113.21,81.26,31.94999999999999
0.18,113.17,81.23,31.939999999999998
0.18,113.13,81.2,31.929999999999993
0.18,113.28,81.35,31.930000000000007
0.18,113.28,81.36,31.92
0.18,113.35,81.42,31.929999999999993
0.18,113.27,81.35,31.92
0.18,112.26,80.43,31.83
0.18,112.23,80.44,31.790000000000006
0.181,112.21,80.42,31.789999999999992
0.19,113.21,81.32,31.89
