time,ch0_left_gate_raw,ch0_right_gate_raw,ch1_left_gate_raw,ch1_right_gate_raw,ch2_left_gate_raw,ch2_right_gate_raw,ch3_left_gate_raw,ch3_right_gate_raw,ch4_left_gate_raw,ch4_right_gate_raw,ch5_left_gate_raw,ch5_right_gate_raw,ch6_left_gate_raw,ch6_right_gate_raw,ch7_left_gate_raw,ch7_right_gate_raw
1179288,215,165,190,211,202,176,219,212,225,192,226,246,223,216,223,221
1179298,221,169,195,218,205,178,222,217,234,197,221,240,218,214,220,217
1179308,215,165,190,211,202,176,219,212,225,192,226,246,223,216,223,221
1179318,221,169,195,218,205,178,222,217,234,197,221,240,218,214,220,217
1179328,215,165,190,211,202,176,219,212,225,192,226,246,223,216,223,221
1179338,221,169,195,218,205,178,222,217,234,197,221,240,218,214,220,217
1179348,215,165,190,211,201,176,219,211,225,192,226,246,223,216,223,222
1179358,223,168,196,218,206,178,222,217,234,197,221,240,218,214,220,217
1179368,215,165,190,211,202,176,219,212,225,192,226,246,223,216,223,221
1179378,222,168,195,218,206,178,222,217,234,197,220,240,218,214,220,217
1179388,215,165,190,211,202,176,219,212,225,192,226,246,223,216,223,221
1179398,223,169,195,218,205,178,222,217,234,197,221,240,218,214,220,217
1179408,215,165,190,211,202,176,219,212,225,192,226,246,223,216,223,221
1179418,221,169,195,218,206,178,222,217,234,197,221,240,218,214,220,217
1179428,215,165,190,211,202,176,219,211,225,192,226,246,223,216,223,222
1179438,218,168,195,218,205,178,222,217,234,197,221,240,218,214,220,217
1179448,215,165,190,211,202,176,219,211,225,192,226,246,223,216,223,222
1179458,222,168,195,218,206,178,222,217,234,197,221,240,218,215,220,217
1179468,215,165,190,211,202,176,219,212,225,192,226,246,223,216,223,221
1179478,222,168,195,218,205,178,222,217,234,197,221,240,218,214,220,217
1179488,215,165,190,211,202,176,219,212,225,192,226,246,223,216,223,221
1179498,221,169,194,218,205,178,222,218,234,197,221,240,218,214,220,217
1179508,214,166,190,211,202,176,219,211,225,192,226,246,223,216,223,222
1179518,222,169,196,218,205,178,222,217,234,197,221,240,218,214,220,217
1179528,215,165,190,211,202,176,219,211,225,192,226,246,223,216,223,221
1179538,222,169,196,218,205,179,222,217,234,197,221,240,218,214,220,217
1179548,215,165,190,211,202,176,219,211,225,192,226,246,223,216,223,221
1179558,221,169,195,218,205,178,222,217,234,197,221,240,219,214,220,217
1179568,214,166,190,211,202,176,219,211,225,192,226,246,223,216,223,221
1179578,222,168,195,218,205,178,222,217,234,197,221,240,218,214,220,217
1179588,215,165,190,211,202,176,219,211,225,192,226,246,223,216,223,221
1179598,221,169,195,218,206,178,222,217,234,197,221,240,218,214,220,217
1179608,214,165,191,211,202,176,219,211,225,192,226,246,223,216,223,221
1179618,221,169,195,218,205,178,222,217,234,197,221,240,218,214,220,217
1179628,214,166,189,211,202,176,219,212,225,192,226,246,223,216,223,221
1179638,222,168,195,218,206,178,222,217,234,197,221,240,218,214,220,217
1179648,215,165,190,211,202,176,219,211,225,192,226,246,223,216,223,221
1179658,222,169,196,218,206,178,222,217,234,197,221,240,218,214,220,217
1179668,214,166,190,211,202,176,218,211,225,192,226,246,223,216,223,221
1179678,221,169,195,218,206,178,222,217,234,197,221,240,218,214,220,217
1179688,214,166,190,211,202,176,219,211,225,192,226,246,223,216,223,221
1179698,222,169,196,218,206,178,222,217,234,197,221,240,218,214,220,217
1179708,214,166,190,211,201,176,218,211,225,192,226,246,223,216,223,221
1179718,221,169,195,218,206,178,222,217,234,197,221,240,218,214,220,217
1179728,214,166,190,211,202,176,218,211,225,192,226,246,223,216,223,221
1179738,222,169,196,219,205,178,222,217,234,197,221,240,218,214,220,217
1179748,214,165,191,211,202,176,219,211,225,192,226,246,223,216,223,221
1179758,221,169,195,219,206,178,222,217,234,197,221,240,218,214,220,217
