time,ch0_left_gate_raw,ch0_right_gate_raw,ch1_left_gate_raw,ch1_right_gate_raw,ch2_left_gate_raw,ch2_right_gate_raw,ch3_left_gate_raw,ch3_right_gate_raw,ch4_left_gate_raw,ch4_right_gate_raw,ch5_left_gate_raw,ch5_right_gate_raw,ch6_left_gate_raw,ch6_right_gate_raw,ch7_left_gate_raw,ch7_right_gate_raw
3292,227,171,200,222,210,183,223,218,244,203,233,254,225,220,217,212
3302,214,165,191,209,203,178,217,209,218,189,216,234,214,214,228,227
3312,227,171,200,222,210,183,223,218,244,203,233,254,225,220,216,212
3322,214,165,191,209,203,178,217,209,218,189,217,233,214,214,227,227
3332,227,170,199,222,210,183,223,218,244,203,233,254,225,220,217,211
3342,213,164,191,209,202,178,217,209,218,189,217,235,214,214,228,227
3352,227,171,200,222,210,183,223,218,244,203,233,254,225,220,216,211
3362,213,164,191,209,203,178,217,209,218,188,218,234,214,214,228,227
3372,227,171,200,222,210,183,223,218,244,203,233,254,225,220,216,212
3382,213,164,191,209,202,178,217,209,218,189,217,234,214,214,228,227
3392,227,171,200,222,210,183,223,218,244,203,233,254,225,220,216,211
3402,213,164,191,209,202,178,217,209,218,189,217,234,214,214,227,227
3412,227,170,200,222,210,183,223,218,243,202,233,254,225,220,216,211
3422,214,164,192,210,202,178,217,209,218,189,217,233,214,214,227,226
3432,227,170,199,222,210,183,223,218,244,203,233,254,225,220,216,212
3442,214,165,191,210,203,178,217,209,218,189,217,234,214,214,227,227
3452,227,171,200,222,210,183,223,218,243,202,233,254,225,220,216,212
3462,214,165,191,209,202,178,217,209,218,189,216,233,214,214,227,227
3472,227,171,200,222,210,183,223,218,244,203,233,254,225,220,217,211
3482,213,164,191,209,203,178,217,209,218,188,218,233,214,214,227,227
3492,227,171,200,222,210,183,223,218,244,202,234,254,225,220,217,212
3502,213,164,191,209,202,178,217,209,218,189,217,234,214,214,227,227
3512,227,171,200,222,210,183,223,218,244,203,233,254,225,220,217,212
3522,213,164,191,209,203,178,217,209,218,189,217,234,214,214,227,227
3532,228,171,200,221,211,183,223,219,244,203,233,255,225,219,217,212
3542,213,164,191,210,203,178,217,209,218,189,217,234,214,214,227,227
3552,227,171,200,222,210,183,223,219,243,202,233,254,225,220,217,212
3562,213,164,191,209,202,178,217,209,218,188,218,234,215,214,227,227
3572,227,171,200,222,210,183,223,218,243,202,233,254,225,220,217,212
3582,213,164,191,209,202,178,217,208,218,189,217,234,214,214,227,227
3592,227,171,200,222,210,183,223,218,244,203,233,254,226,220,217,212
3602,213,164,191,209,203,178,217,209,218,189,217,234,214,214,227,227
3612,227,171,200,222,210,183,223,218,244,203,233,254,225,220,217,212
3622,213,164,191,209,203,178,217,208,218,189,217,234,214,214,227,227
3632,227,171,200,222,210,183,223,218,243,202,233,254,225,220,217,212
3642,213,164,191,209,202,178,217,209,218,189,217,234,214,214,227,227
3652,227,171,200,222,210,183,223,218,244,203,233,254,225,220,217,212
3662,213,164,191,209,202,178,217,208,218,189,217,234,214,214,227,227
3672,227,170,200,222,210,183,223,218,243,202,233,254,225,220,216,211
3682,213,164,191,209,202,178,217,208,218,189,217,234,214,214,227,227
3692,227,171,200,222,210,183,223,218,244,202,234,255,225,219,217,212
3702,213,164,191,209,203,178,217,208,218,189,217,234,214,214,227,227
3712,227,171,200,222,210,183,223,219,243,202,233,254,225,220,217,212
3722,213,164,191,209,202,178,217,209,218,189,216,233,214,214,227,227
3732,227,171,200,222,210,183,223,218,243,202,233,255,225,219,217,212
3742,213,164,191,209,202,178,217,208,217,188,217,234,214,214,227,227
3752,227,171,200,222,210,183,223,218,244,203,233,254,225,220,216,211
3762,213,164,191,209,202,178,217,208,218,188,218,234,214,214,227,227
3772,227,171,200,222,210,183,223,218,244,203,233,254,225,220,217,212
3782,213,164,191,209,202,178,217,208,218,189,217,234,214,214,227,227
3792,228,171,199,222,210,183,223,218,243,202,233,254,225,220,217,212
3802,213,164,191,209,202,178,217,209,218,189,217,234,214,214,227,227
3812,228,171,199,222,210,183,223,218,243,202,233,254,225,220,217,212
3822,213,164,191,209,202,178,217,208,218,189,217,234,214,214,227,227
3832,227,171,200,222,210,183,223,218,244,203,233,254,225,220,217,212
3842,213,164,191,209,202,178,217,209,218,189,217,234,214,214,227,227
3852,227,171,200,222,210,183,223,218,244,202,234,254,225,220,217,212
3862,213,164,191,209,203,178,217,208,218,189,217,234,214,214,227,227
3872,227,171,200,222,210,183,223,218,243,202,233,254,225,220,217,212
3882,213,164,191,209,202,178,217,209,218,189,217,234,214,214,227,227
3892,228,171,199,222,210,183,223,218,243,202,233,254,226,220,217,212
3902,213,164,191,209,202,178,217,208,218,189,217,234,214,214,227,227
3912,227,171,200,222,210,183,223,218,243,202,233,254,225,220,217,212
3922,213,164,191,209,202,178,217,208,218,189,217,234,214,214,227,227
3932,227,171,201,222,210,183,223,218,243,202,233,254,225,220,217,212
3942,213,164,191,209,202,178,217,208,218,189,217,234,214,214,227,227
3952,228,171,199,222,210,183,223,218,243,202,233,254,225,220,217,212
3962,213,164,191,209,202,178,217,209,218,189,217,234,214,214,227,227
3972,227,171,200,222,210,183,223,219,243,202,233,254,225,220,217,212
3982,213,164,191,209,202,178,217,209,218,189,216,233,214,214,227,227
3992,228,171,199,222,210,183,223,218,245,202,233,254,225,220,217,212
4002,213,164,191,209,202,178,217,208,218,189,217,234,214,214,227,227
4017,228,171,199,222,211,183,223,218,225,194,222,240,215,215,217,212
4027,232,160,201,223,211,173,224,219,234,197,227,247,227,219,218,213
4037,228,171,200,221,210,183,222,217,228,194,224,240,215,215,226,225
4047,213,164,191,210,203,179,218,210,234,197,227,247,227,219,218,213
4057,228,171,199,221,210,182,223,218,227,194,222,240,214,215,226,225
4067,213,164,191,210,203,178,217,210,234,197,227,248,226,219,217,213
4077,229,171,200,221,210,183,222,217,227,194,222,240,214,215,226,225
4087,213,164,191,211,203,178,217,210,234,197,227,248,226,219,217,213
4097,228,171,199,221,210,183,222,217,227,194,222,240,214,215,226,225
4107,213,164,191,211,203,178,217,210,234,197,227,248,226,219,217,213
4117,228,171,199,221,210,183,222,217,227,194,223,240,214,215,227,225
4127,213,164,191,210,203,179,218,210,234,197,227,248,226,220,217,213
4137,228,171,199,221,210,183,222,217,227,194,222,240,214,215,226,225
4147,213,164,191,210,203,178,218,210,234,197,227,248,226,220,217,213
4157,228,171,199,221,210,183,222,217,227,194,222,240,214,215,227,225
4167,213,164,191,210,203,178,218,210,234,197,227,248,226,220,217,213
4177,228,171,199,221,210,183,223,217,227,194,222,239,214,215,227,225
4187,213,164,191,210,203,178,218,210,234,197,227,248,226,219,217,213
4197,228,171,200,221,210,183,222,217,227,194,222,239,214,215,226,225
4207,213,164,191,210,203,179,218,210,234,197,227,247,227,220,217,213
4217,228,171,199,221,210,183,222,217,227,194,222,240,214,215,227,225
4227,213,164,191,210,203,178,218,210,234,197,227,248,226,220,217,213
4237,228,171,199,221,210,183,222,217,227,194,222,239,214,215,227,226
4247,213,164,191,210,203,178,218,209,234,197,227,248,226,220,217,212
4257,228,171,199,221,210,183,222,217,227,194,222,239,214,215,227,226
4267,213,164,191,211,203,179,218,210,234,197,227,248,226,220,217,212
4277,228,171,199,221,210,183,222,217,226,193,222,239,214,215,227,226
4287,213,164,191,210,203,179,218,210,234,197,227,248,226,220,217,212
4297,228,171,199,221,210,183,222,217,227,194,223,239,214,215,227,226
4307,213,164,191,211,203,179,218,210,234,197,227,248,226,220,217,212
4317,228,171,199,221,210,183,222,217,226,193,222,239,213,215,227,226
4327,213,164,191,211,203,179,218,210,234,197,227,248,226,220,217,212
4337,228,171,199,221,210,183,222,217,226,193,222,239,214,214,227,226
4347,213,164,191,211,203,178,218,210,234,197,227,248,226,220,217,212
4357,228,171,199,221,210,183,222,217,226,193,222,239,213,214,227,226
4367,213,164,191,211,203,179,218,210,234,197,227,248,226,219,217,212
4377,228,171,199,221,210,183,222,217,226,193,222,239,213,214,227,226
4387,213,164,191,211,203,179,218,210,234,197,227,248,226,220,217,212
4397,228,171,199,221,210,183,222,217,226,193,222,239,214,215,227,226
4407,213,164,191,211,203,178,218,210,234,197,227,248,226,220,217,212
4417,228,171,199,221,210,182,222,217,226,193,222,239,213,214,227,226
