time,ch0_left_gate_raw,ch0_right_gate_raw,ch1_left_gate_raw,ch1_right_gate_raw,ch2_left_gate_raw,ch2_right_gate_raw,ch3_left_gate_raw,ch3_right_gate_raw,ch4_left_gate_raw,ch4_right_gate_raw,ch5_left_gate_raw,ch5_right_gate_raw,ch6_left_gate_raw,ch6_right_gate_raw,ch7_left_gate_raw,ch7_right_gate_raw
19792,273,217,241,262,235,185,266,276,286,242,248,283,256,218,272,265
19802,267,212,236,257,231,191,239,253,284,241,251,285,258,219,275,268
19812,273,217,241,262,235,184,265,276,285,242,249,283,256,218,272,265
19822,267,212,236,257,231,191,239,253,284,241,250,285,258,219,275,268
19832,273,217,242,262,235,183,265,276,285,242,248,283,256,218,272,265
19842,268,212,236,257,231,192,239,253,284,240,250,285,258,219,275,267
19852,273,217,241,262,236,183,265,276,285,242,250,283,256,218,272,265
19862,267,212,236,257,231,191,239,253,284,241,250,285,258,219,275,268
19872,273,217,242,262,236,183,265,276,285,242,249,283,256,218,272,265
19882,268,212,237,257,231,190,246,268,283,240,250,285,257,219,274,268
19892,273,217,241,262,236,182,265,276,285,242,249,283,256,218,272,265
19902,267,212,236,257,231,192,239,253,284,241,250,285,258,219,274,268
19912,273,217,241,262,236,183,266,276,286,242,249,283,256,218,272,265
19922,267,212,236,257,231,192,239,252,284,241,251,285,258,219,274,268
19932,272,217,240,262,236,184,266,276,286,242,249,283,256,218,272,265
19942,267,212,236,257,231,190,244,268,283,241,251,285,258,219,274,267
19952,272,217,240,262,236,182,265,276,285,242,250,283,256,218,272,265
19962,268,212,237,256,231,191,239,252,284,241,250,285,258,219,275,267
19972,273,217,241,262,236,181,265,276,285,242,248,283,256,218,272,265
19982,267,212,236,256,231,191,239,252,283,240,250,285,257,219,275,268
19992,274,217,241,262,236,179,266,277,285,242,248,283,256,218,272,265
20002,267,212,236,256,230,191,239,252,284,241,250,285,258,219,274,267
20012,273,218,241,262,236,180,266,276,285,242,249,283,256,218,272,265
