time,delta
0.02,31.16666666666667
0.02,30.933333333333337
0.02,30.866666666666674
0.02,30.833333333333343
0.03,31.099999999999994
0.03,31.200000000000003
0.03,31.19999999999999
0.03,31.16666666666667
0.03,31.13333333333334
0.03,31.10000000000001
0.03,31.10000000000001
0.03,31.099999999999994
0.03,30.933333333333337
0.03,30.86666666666666
0.03,30.866666666666674
0.04,31.10000000000001
0.04,31.166666666666657
0.04,31.16666666666667
0.04,31.133333333333326
0.04,31.099999999999994
0.04,31.099999999999994
0.04,31.099999999999994
0.04,31.13333333333334
0.04,30.900000000000006
0.04,30.83333333333333
0.04,30.833333333333343
0.05,31.03333333333333
0.05,31.166666666666657
0.05,31.166666666666657
0.05,31.13333333333334
0.05,31.10000000000001
0.05,31.066666666666663
0.05,31.03333333333333
0.05,31.03333333333333
0.05,30.766666666666666
0.05,30.66666666666667
0.05,30.66666666666667
0.06,30.89999999999999
0.06,31.0
0.06,31.0
0.06,31.0
0.06,30.96666666666667
0.06,30.96666666666667
0.06,31.0
0.06,31.0
0.06,30.766666666666666
0.06,30.700000000000003
0.06,30.700000000000003
0.07,30.933333333333323
0.07,31.0
0.07,31.0
0.07,31.0
0.07,30.96666666666667
0.07,31.0
0.07,31.03333333333333
0.07,31.066666666666677
0.07,30.86666666666666
0.07,30.766666666666666
0.07,30.733333333333334
0.08,30.96666666666667
0.08,31.03333333333333
0.08,31.033333333333346
0.08,31.066666666666663
0.08,31.066666666666663
0.08,31.066666666666677
0.08,31.099999999999994
0.08,31.099999999999994
0.08,30.86666666666666
0.08,30.76666666666668
0.08,30.766666666666666
0.09,31.0
0.09,31.10000000000001
0.09,31.066666666666663
0.09,31.03333333333333
0.09,31.0
0.09,31.0
0.09,31.0
0.09,31.0
0.09,30.80000000000001
0.09,30.733333333333334
0.09,30.733333333333334
0.1,31.0
0.1,31.033333333333346
0.1,31.03333333333333
0.1,31.0
0.1,30.96666666666667
0.1,31.0
0.1,30.96666666666667
0.1,30.96666666666667
0.1,30.766666666666666
0.1,30.700000000000003
0.1,30.700000000000003
0.11,30.933333333333337
0.11,31.0
0.11,31.0
0.11,30.96666666666667
0.11,30.96666666666667
0.11,30.96666666666667
0.11,31.0
0.11,31.066666666666663
0.11,30.833333333333343
0.11,30.766666666666666
0.11,30.76666666666668
0.12,31.0
0.12,31.099999999999994
0.12,31.099999999999994
0.12,31.099999999999994
0.12,31.10000000000001
0.12,31.066666666666677
0.12,31.066666666666663
0.12,31.066666666666663
0.12,30.799999999999997
0.12,30.766666666666666
0.12,30.733333333333334
0.13,30.933333333333323
0.13,31.0
0.13,31.0
0.13,31.03333333333333
0.13,31.03333333333333
0.13,31.0
0.13,31.0
0.13,31.03333333333333
0.13,30.799999999999997
0.13,30.700000000000003
0.13,30.700000000000003
0.14,30.89999999999999
0.14,30.96666666666667
0.14,30.96666666666667
0.14,30.933333333333337
0.14,30.866666666666674
0.14,30.866666666666674
0.14,30.866666666666674
0.14,30.86666666666666
0.14,30.63333333333334
0.14,30.566666666666663
0.14,30.566666666666677
0.15,30.766666666666666
0.15,30.83333333333333
0.15,30.83333333333333
0.15,30.833333333333343
0.15,30.833333333333343
0.15,30.83333333333333
0.15,30.83333333333333
0.15,30.86666666666666
0.15,30.66666666666667
0.15,30.60000000000001
0.15,30.599999999999994
0.16,30.83333333333333
0.16,30.900000000000006
0.16,30.900000000000006
0.16,30.89999999999999
0.16,30.86666666666666
0.16,30.89999999999999
0.16,30.933333333333337
0.16,30.966666666666654
0.16,30.766666666666666
0.16,30.700000000000003
0.16,30.700000000000003
0.17,30.89999999999999
0.17,30.96666666666667
0.17,30.96666666666667
0.17,31.0
0.17,30.96666666666667
0.17,30.96666666666667
0.17,30.96666666666667
0.17,31.0
0.17,30.799999999999997
0.17,30.733333333333334
0.17,30.733333333333334
0.18,30.96666666666667
0.18,31.0
0.18,31.0
0.18,30.96666666666667
0.18,30.933333333333337
0.18,30.933333333333337
0.18,30.933333333333337
0.18,30.933333333333337
0.18,30.700000000000003
0.18,30.633333333333326
0.18,30.633333333333326
0.19,30.866666666666674
0.19,30.933333333333337
0.19,30.900000000000006
0.19,30.933333333333323
0.19,30.89999999999999
0.19,30.89999999999999
0.19,30.86666666666666
0.19,30.900000000000006
0.19,30.69999999999999
0.19,30.633333333333326
0.19,30.633333333333326
0.2,30.833333333333343
0.2,30.89999999999999
0.2,30.866666666666674
0.2,30.86666666666666
0.2,30.83333333333333
0.2,30.83333333333333
0.2,30.86666666666666
0.2,30.866666666666674
0.2,30.633333333333326
0.2,30.599999999999994
0.2,30.60000000000001
0.21,30.83333333333333
0.21,30.89999999999999
0.21,30.89999999999999
0.21,30.86666666666666
0.21,30.833333333333343
0.21,30.866666666666674
0.21,30.866666666666674
0.21,30.900000000000006
0.21,30.66666666666667
0.21,30.599999999999994
0.21,30.60000000000001
0.22,30.799999999999997
0.22,30.83333333333333
0.22,30.83333333333333
0.22,30.86666666666666
0.22,30.833333333333343
0.22,30.833333333333343
0.22,30.86666666666666
0.22,30.89999999999999
0.22,30.66666666666667
0.22,30.63333333333334
0.22,30.66666666666667
0.23,30.89999999999999
0.23,30.96666666666667
0.23,30.96666666666667
0.23,30.933333333333337
0.23,30.933333333333337
0.23,30.96666666666667
0.23,31.0
0.23,31.0
0.23,30.83333333333333
0.23,30.766666666666666
0.23,30.766666666666666
0.24,31.0
0.24,31.066666666666663
0.24,31.03333333333333
0.24,31.03333333333333
0.24,31.0
0.24,30.96666666666667
0.24,31.0
0.24,31.0
0.24,30.766666666666666
0.24,30.733333333333334
0.24,30.733333333333334
0.25,31.0
0.25,31.066666666666663
0.25,31.066666666666663
0.25,31.03333333333333
0.25,31.0
0.25,31.0
0.25,30.96666666666667
0.25,31.0
0.25,30.766666666666666
0.25,30.700000000000003
0.25,30.700000000000003
0.26,30.86666666666666
0.26,30.933333333333337
0.26,30.89999999999999
0.26,30.86666666666666
0.26,30.866666666666674
0.26,30.833333333333343
0.26,30.83333333333333
0.26,30.866666666666674
0.26,30.700000000000003
0.26,30.66666666666667
0.26,30.66666666666667
0.27,30.89999999999999
0.27,30.96666666666667
0.27,31.0
0.27,30.96666666666667
0.27,30.96666666666667
0.27,30.96666666666667
0.27,31.0
0.27,31.033333333333346
0.27,30.799999999999997
0.27,30.733333333333334
0.27,30.73333333333332
0.28,30.96666666666667
0.28,31.0
0.28,31.0
0.28,31.0
0.28,30.966666666666654
0.28,30.96666666666667
0.28,31.0
0.28,31.03333333333333
0.28,30.866666666666674
0.28,30.799999999999997
0.28,30.80000000000001
0.29,31.03333333333333
0.29,31.099999999999994
0.29,31.099999999999994
0.29,31.099999999999994
0.29,31.066666666666663
0.29,31.066666666666663
0.29,31.03333333333333
0.29,31.066666666666663
0.29,30.86666666666666
0.29,30.799999999999997
0.29,30.799999999999997
0.3,31.03333333333333
0.3,31.10000000000001
0.3,31.10000000000001
0.3,31.066666666666677
0.3,31.03333333333333
0.3,31.0
0.3,31.03333333333333
0.3,31.03333333333333
0.3,30.80000000000001
0.3,30.766666666666666
0.3,30.766666666666666
0.31,31.03333333333333
0.31,31.099999999999994
0.31,31.099999999999994
0.31,31.066666666666663
0.31,31.03333333333333
0.31,31.066666666666677
0.31,31.066666666666663
0.31,31.066666666666663
0.31,30.833333333333343
0.31,30.766666666666666
0.31,30.766666666666666
0.32,31.0
0.32,31.066666666666677
0.32,31.03333333333333
0.32,31.066666666666677
0.32,31.0
0.32,30.96666666666667
0.32,30.933333333333323
0.32,30.96666666666667
0.32,30.733333333333334
0.32,30.666666666666657
0.32,30.66666666666667
0.33,30.900000000000006
0.33,30.96666666666667
0.33,30.96666666666667
0.33,30.96666666666667
0.33,30.96666666666667
0.33,31.0
0.33,31.033333333333346
0.33,31.066666666666663
0.33,30.83333333333333
0.33,30.733333333333334
0.33,30.733333333333334
0.34,30.933333333333337
0.34,30.96666666666667
0.34,30.933333333333323
0.34,30.933333333333323
0.34,30.89999999999999
0.34,30.89999999999999
