time,left_gate,right_gate,delta
0.09,115.33,84.13,31.200000000000003
0.1,115.33,84.13,31.200000000000003
0.1,115.41,84.23,31.179999999999993
0.1,115.33,84.17,31.159999999999997
0.1,115.33,84.17,31.159999999999997
0.1,115.31,84.15,31.159999999999997
0.1,115.31,84.15,31.159999999999997
0.1,115.31,84.15,31.159999999999997
0.1,115.31,84.15,31.159999999999997
0.1,115.31,84.15,31.159999999999997
0.1,115.3,84.14,31.159999999999997
0.11,115.3,84.14,31.159999999999997
0.11,115.3,84.14,31.159999999999997
0.11,115.3,84.13,31.17
0.11,115.3,84.12,31.179999999999993
0.11,115.3,84.13,31.17
0.11,115.3,84.12,31.179999999999993
0.11,115.3,84.12,31.179999999999993
0.11,115.3,84.12,31.179999999999993
0.11,115.29,84.13,31.16000000000001
0.11,115.29,84.13,31.16000000000001
0.12,115.29,84.13,31.16000000000001
0.12,115.29,84.13,31.16000000000001
0.12,115.29,84.14,31.150000000000006
0.12,115.29,84.14,31.150000000000006
0.12,115.29,84.13,31.16000000000001
0.12,115.3,84.13,31.17
0.12,115.3,84.13,31.17
0.12,115.3,84.13,31.17
0.12,115.3,84.13,31.17
0.12,115.3,84.13,31.17
0.13,115.3,84.13,31.17
0.13,115.3,84.13,31.17
0.13,115.32,84.12,31.19999999999999
0.13,115.31,84.11,31.200000000000003
0.13,115.31,84.12,31.189999999999998
0.13,115.32,84.13,31.189999999999998
0.13,115.31,84.12,31.189999999999998
0.13,115.31,84.12,31.189999999999998
0.13,115.33,84.14,31.189999999999998
0.13,115.33,84.13,31.200000000000003
0.14,115.33,84.13,31.200000000000003
0.14,115.33,84.13,31.200000000000003
0.14,115.33,84.14,31.189999999999998
0.14,115.34,84.15,31.189999999999998
0.14,115.34,84.14,31.200000000000003
0.14,115.33,84.14,31.189999999999998
0.14,115.33,84.14,31.189999999999998
0.14,115.34,84.14,31.200000000000003
0.14,115.34,84.13,31.210000000000008
0.14,115.33,84.12,31.209999999999994
0.15,115.33,84.12,31.209999999999994
0.15,115.33,84.11,31.22
0.15,115.33,84.12,31.209999999999994
0.15,115.36,84.15,31.209999999999994
0.15,115.37,84.16,31.210000000000008
0.15,115.38,84.17,31.209999999999994
0.15,115.38,84.17,31.209999999999994
0.15,115.38,84.17,31.209999999999994
0.15,115.38,84.16,31.22
0.15,115.33,84.11,31.22
0.16,115.33,84.11,31.22
0.16,115.33,84.11,31.22
0.16,115.33,84.11,31.22
0.16,115.33,84.11,31.22
0.16,115.33,84.11,31.22
0.16,115.32,84.11,31.209999999999994
