time, left_gate_raw, right_gate_raw
242570,201,163
242570,95,62
242570,116,85
242570,104,74
242570,110,80
242570,107,77
242570,104,74
242570,109,79
242570,105,76
242570,99,69
242580,202,164
242580,104,72
242580,109,79
242580,105,75
242580,111,79
242580,106,77
242580,99,69
242580,109,78
242580,107,76
242580,104,73
242590,201,163
242590,104,72
242590,109,78
242590,104,74
242590,110,80
242590,106,77
242590,104,73
242590,109,79
242590,106,76
242590,98,68
242600,202,164
242600,104,72
242600,108,79
242600,106,75
242600,111,79
242600,106,76
242600,99,69
242600,109,78
242600,106,76
242600,104,74
242610,201,163
242610,104,72
242610,108,78
242610,104,74
242610,110,80
242610,107,77
242610,104,74
242610,109,79
242610,105,77
242610,99,69
242620,202,164
242620,104,72
242620,108,77
242620,102,72
242620,110,79
242620,107,77
242620,104,74
242620,110,79
242620,107,77
242620,104,73
242630,201,163
242630,104,72
242630,109,78
242630,104,74
242630,110,80
242630,107,77
242630,104,73
242630,109,79
242630,106,75
242630,98,68
242640,202,164
242640,103,72
242640,109,78
242640,105,75
242640,111,80
242640,107,77
242640,98,68
242640,109,78
242640,107,77
242640,104,73
242650,200,163
242650,104,72
242650,109,79
242650,104,74
242650,110,80
242650,106,76
242650,99,69
242650,107,76
242650,100,70
242650,112,81
242660,202,164
242660,104,72
242660,108,78
242660,105,75
242660,111,80
242660,106,77
242660,99,69
242660,109,78
242660,106,76
242660,104,73
242670,201,163
242670,103,72
242670,108,79
242670,104,74
242670,108,78
242670,107,77
242670,104,74
242670,109,79
242670,105,76
242670,98,68
242680,202,164
242680,104,72
242680,109,78
242680,105,74
242680,111,80
242680,106,76
242680,99,69
242680,109,78
242680,106,77
242680,104,73
242690,201,163
242690,104,72
242690,109,79
242690,104,74
242690,110,79
242690,107,77
242690,104,73
242690,109,79
242690,106,76
242690,98,68
242700,202,164
242700,104,72
242700,110,78
242700,105,74
242700,111,80
242700,107,77
242700,98,68
242700,109,78
242700,108,78
242700,104,73
242710,201,163
242710,104,72
242710,108,79
242710,105,75
242710,110,79
242710,106,77
242710,104,74
242710,110,79
242710,105,76
242710,98,68
242720,202,164
242720,104,71
242720,108,78
242720,105,75
242720,111,80
242720,108,78
242720,104,74
242720,110,79
242720,107,76
242720,99,68
242730,201,163
242730,104,72
242730,109,78
242730,104,74
242730,110,80
242730,106,77
242730,104,74
242730,110,79
242730,106,75
242730,98,68
242740,202,164
242740,104,72
242740,109,79
242740,105,75
242740,111,79
242740,107,76
242740,99,68
242740,109,78
242740,106,77
242740,104,73
242750,201,163
242750,104,72
242750,109,78
242750,104,74
242750,110,80
242750,106,77
242750,104,74
242750,110,79
242750,105,76
242750,100,69
242760,202,164
242760,104,72
242760,110,79
242760,105,74
242760,110,80
242760,107,77
242760,105,74
242760,110,79
242760,107,76
242760,99,68
242770,201,163
242770,104,72
242770,108,78
242770,105,75
242770,110,80
242770,106,76
242770,100,70
242770,109,78
242770,106,77
242770,103,73
242780,202,164
242780,104,72
242780,110,79
242780,105,74
242780,110,79
242780,107,77
242780,99,69
242780,109,79
242780,107,76
242780,104,74
242790,201,163
242790,103,71
242790,107,78
242790,101,71
242790,109,79
242790,106,77
242790,104,74
242790,107,76
242790,106,76
242790,104,73
242800,202,164
242800,104,72
242800,110,79
242800,105,74
242800,111,80
242800,106,76
242800,99,69
242800,109,78
242800,106,76
242800,105,74
242810,201,163
242810,104,72
242810,108,78
242810,104,74
242810,110,80
242810,107,77
242810,104,74
242810,109,79
242810,107,77
242810,98,68
242820,202,164
242820,104,72
242820,108,79
242820,106,75
242820,111,80
242820,106,76
242820,99,69
242820,110,79
242820,106,76
242820,104,74
242830,201,163
242830,104,72
242830,109,79
242830,104,74
242830,110,80
242830,106,77
242830,104,74
242830,109,79
242830,106,76
242830,98,68
242840,202,163
242840,104,72
242840,109,79
242840,106,75
242840,111,80
242840,106,76
242840,99,69
242840,109,78
242840,106,76
242840,104,74
242850,201,163
242850,104,72
242850,108,79
242850,104,74
242850,110,80
242850,106,77
242850,104,74
242850,109,79
242850,106,75
242850,98,68
242860,202,164
242860,104,73
242860,109,79
242860,105,75
242860,111,80
242860,107,76
242860,99,69
242860,109,78
242860,107,76
242860,104,73
242870,201,163
242870,104,72
242870,109,79
242870,104,74
242870,111,80
242870,107,77
242870,104,73
242870,110,80
242870,107,76
242870,98,68
242880,202,164
242880,104,72
242880,108,79
242880,106,75
242880,111,80
242880,107,77
242880,104,74
242880,110,79
242880,107,76
242880,98,68
242890,201,163
242890,104,72
242890,108,79
242890,104,74
242890,110,80
242890,108,77
242890,103,73
242890,109,79
242890,106,76
242890,98,68
242900,202,164
242900,104,72
242900,110,79
242900,105,74
242900,111,80
242900,107,76
242900,99,69
242900,109,78
242900,106,76
242900,104,74
242910,201,164
242910,104,72
242910,107,77
242910,101,72
242910,110,79
242910,107,77
242910,104,74
242910,109,79
242910,106,76
242910,104,73
242920,202,164
242920,104,72
242920,109,79
242920,105,75
242920,111,80
242920,106,77
242920,105,74
242920,110,79
242920,107,76
242920,99,69
242930,201,163
242930,104,72
242930,108,79
242930,105,75
242930,110,79
242930,107,77
242930,104,73
242930,110,79
242930,105,76
242930,98,68
