time,left_gate,right_gate,delta
0.09,106.84,75.77,31.070000000000007
0.09,105.87,74.86,31.010000000000005
0.09,105.75,74.76,30.989999999999995
0.09,105.81,74.83,30.980000000000004
0.09,105.73,74.76,30.97
0.09,105.73,74.76,30.97
0.09,105.9,74.93,30.97
0.09,105.82,74.86,30.959999999999994
0.09,105.72,74.76,30.959999999999994
0.09,105.7,74.75,30.950000000000003
0.09,105.7,74.75,30.950000000000003
0.1,106.82,75.79,31.029999999999987
0.1,105.85,74.87,30.97999999999999
0.1,105.75,74.78,30.97
0.1,105.81,74.84,30.97
0.1,105.74,74.77,30.97
0.1,105.74,74.76,30.97999999999999
0.1,105.9,74.93,30.97
0.1,105.82,74.86,30.959999999999994
0.1,105.73,74.77,30.960000000000008
0.1,105.73,74.77,30.960000000000008
0.1,105.73,74.77,30.960000000000008
0.11,106.84,75.81,31.03
0.11,105.87,74.89,30.980000000000004
0.11,105.76,74.8,30.960000000000008
0.11,105.82,74.86,30.959999999999994
0.11,105.75,74.79,30.959999999999994
0.11,105.75,74.78,30.97
0.11,105.92,74.95,30.97
0.11,105.83,74.85,30.980000000000004
0.11,105.73,74.76,30.97
0.11,105.72,74.76,30.959999999999994
0.11,105.72,74.76,30.959999999999994
0.12,106.83,75.8,31.03
0.12,105.85,74.88,30.97
0.12,105.73,74.79,30.939999999999998
0.12,105.79,74.85,30.940000000000012
0.12,105.72,74.78,30.939999999999998
0.12,105.72,74.78,30.939999999999998
0.12,105.89,74.95,30.939999999999998
0.12,105.82,74.88,30.939999999999998
0.12,105.73,74.79,30.939999999999998
0.12,105.72,74.79,30.929999999999993
0.12,105.72,74.79,30.929999999999993
0.13,106.82,75.83,30.989999999999995
0.13,105.85,74.91,30.939999999999998
0.13,105.74,74.81,30.929999999999993
0.13,105.8,74.87,30.929999999999993
0.13,105.73,74.8,30.930000000000007
0.13,105.72,74.79,30.929999999999993
0.13,105.86,74.93,30.929999999999993
0.13,105.83,74.89,30.939999999999998
0.13,105.73,74.8,30.930000000000007
0.13,105.72,74.8,30.92
0.13,105.72,74.8,30.92
0.14,106.82,75.84,30.97999999999999
0.14,105.86,74.92,30.939999999999998
0.14,105.74,74.83,30.909999999999997
0.14,105.8,74.9,30.89999999999999
0.14,105.73,74.83,30.900000000000006
0.14,105.73,74.83,30.900000000000006
0.14,105.9,75.0,30.900000000000006
0.14,105.87,74.96,30.91000000000001
0.14,105.71,74.8,30.909999999999997
0.14,105.7,74.79,30.909999999999997
0.14,105.7,74.79,30.909999999999997
0.15,106.8,75.83,30.97
0.15,105.83,74.91,30.92
0.15,105.71,74.82,30.89
0.15,105.77,74.88,30.89
0.15,105.7,74.81,30.89
0.15,105.7,74.8,30.900000000000006
0.15,105.87,74.98,30.89
0.15,105.8,74.91,30.89
0.15,105.71,74.82,30.89
0.15,105.7,74.81,30.89
0.15,105.71,74.81,30.89999999999999
0.16,106.82,75.85,30.97
0.16,105.84,74.92,30.92
0.16,105.72,74.82,30.900000000000006
0.16,105.78,74.88,30.900000000000006
0.16,105.71,74.81,30.89999999999999
0.16,105.71,74.8,30.909999999999997
0.16,105.88,74.98,30.89999999999999
0.16,105.81,74.91,30.900000000000006
0.16,105.71,74.82,30.89
0.16,105.71,74.82,30.89
0.16,105.71,74.82,30.89
0.17,106.81,75.86,30.950000000000003
0.17,105.85,74.95,30.89999999999999
0.17,105.73,74.85,30.88000000000001
0.17,105.8,74.91,30.89
0.17,105.72,74.84,30.879999999999995
0.17,105.72,74.84,30.879999999999995
0.17,105.89,75.01,30.879999999999995
0.17,105.82,74.94,30.879999999999995
0.17,105.74,74.86,30.879999999999995
0.17,105.74,74.86,30.879999999999995
0.17,105.74,74.86,30.879999999999995
0.18,106.85,75.9,30.94999999999999
0.18,105.87,74.98,30.89
0.18,105.76,74.89,30.870000000000005
0.18,105.82,74.96,30.86
0.18,105.74,74.88,30.86
0.18,105.75,74.88,30.870000000000005
0.18,105.83,74.96,30.870000000000005
0.18,105.86,74.98,30.879999999999995
0.18,105.76,74.88,30.88000000000001
0.18,105.75,74.88,30.870000000000005
0.18,105.76,74.89,30.870000000000005
0.19,106.87,75.93,30.939999999999998
0.19,105.9,75.02,30.88000000000001
0.19,105.79,74.92,30.870000000000005
0.19,105.85,74.98,30.86999999999999
0.19,105.78,74.91,30.870000000000005
0.19,105.78,74.91,30.870000000000005
0.19,105.93,75.08,30.85000000000001
0.19,105.88,75.01,30.86999999999999
0.19,105.79,74.92,30.870000000000005
0.19,105.77,74.91,30.86
0.19,105.77,74.91,30.86
0.2,106.88,75.95,30.929999999999993
0.2,105.9,75.03,30.870000000000005
0.2,105.78,74.94,30.840000000000003
0.2,105.85,75.01,30.83999999999999
0.2,105.78,74.94,30.840000000000003
0.2,105.77,74.93,30.83999999999999
0.2,105.94,75.09,30.849999999999994
0.2,105.86,75.02,30.840000000000003
0.2,105.77,74.95,30.819999999999993
0.2,105.75,74.93,30.819999999999993
0.2,105.75,74.93,30.819999999999993
0.21,106.86,75.98,30.879999999999995
0.21,105.89,75.06,30.83
0.21,105.78,74.97,30.810000000000002
0.21,105.84,75.04,30.799999999999997
0.21,105.77,74.97,30.799999999999997
0.21,105.77,74.96,30.810000000000002
0.21,105.91,75.1,30.810000000000002
0.21,105.88,75.06,30.819999999999993
0.21,105.78,74.96,30.820000000000007
0.21,105.77,74.95,30.819999999999993
0.21,105.77,74.95,30.819999999999993
0.22,106.88,75.99,30.89
0.22,105.91,75.07,30.840000000000003
0.22,105.79,74.97,30.820000000000007
0.22,105.84,75.03,30.810000000000002
0.22,105.77,74.96,30.810000000000002
0.22,105.76,74.95,30.810000000000002
0.22,105.94,75.12,30.819999999999993
0.22,105.9,75.07,30.830000000000013
0.22,105.75,74.93,30.819999999999993
0.22,105.75,74.93,30.819999999999993
0.22,105.75,74.92,30.83
0.23,106.86,75.96,30.900000000000006
0.23,105.9,75.04,30.86
0.23,105.78,74.94,30.840000000000003
0.23,105.84,75.0,30.840000000000003
0.23,105.77,74.93,30.83999999999999
0.23,105.77,74.92,30.849999999999994
0.23,105.94,75.08,30.86
0.23,105.87,75.01,30.86
0.23,105.78,74.91,30.870000000000005
0.23,105.78,74.91,30.870000000000005
0.23,105.78,74.91,30.870000000000005
0.24,106.88,75.95,30.929999999999993
0.24,105.92,75.03,30.89
0.24,105.8,74.93,30.86999999999999
0.24,105.86,74.99,30.870000000000005
0.24,105.79,74.92,30.870000000000005
0.24,105.78,74.92,30.86
0.24,105.96,75.09,30.86999999999999
0.24,105.88,75.01,30.86999999999999
0.24,105.79,74.93,30.86
0.24,105.77,74.91,30.86
0.24,105.77,74.91,30.86
0.25,106.89,75.96,30.930000000000007
0.25,105.91,75.03,30.879999999999995
0.25,105.81,74.95,30.86
0.25,105.87,75.01,30.86
0.25,105.8,74.94,30.86
0.25,105.8,74.94,30.86
0.25,105.95,75.11,30.840000000000003
0.25,105.88,75.03,30.849999999999994
0.25,105.77,74.93,30.83999999999999
0.25,105.77,74.93,30.83999999999999
0.25,105.77,74.93,30.83999999999999
0.26,106.86,75.97,30.89
0.26,105.9,75.05,30.85000000000001
0.26,105.79,74.96,30.830000000000013
0.26,105.85,75.02,30.83
0.26,105.77,74.95,30.819999999999993
0.26,105.77,74.94,30.83
0.26,105.86,75.03,30.83
0.26,105.95,75.11,30.840000000000003
0.26,105.97,75.13,30.840000000000003
0.26,105.98,75.13,30.85000000000001
0.26,105.98,75.13,30.85000000000001
0.27,107.09,76.17,30.92
0.27,106.12,75.25,30.870000000000005
0.27,106.01,75.15,30.86
0.27,106.06,75.2,30.86
0.27,105.99,75.12,30.86999999999999
0.27,105.99,75.12,30.86999999999999
0.27,106.16,75.28,30.879999999999995
0.27,106.17,75.28,30.89
0.27,105.98,75.09,30.89
0.27,105.98,75.09,30.89
0.27,105.97,75.08,30.89
0.28,107.07,76.11,30.959999999999994
0.28,106.09,75.19,30.900000000000006
0.28,105.97,75.09,30.879999999999995
0.28,106.03,75.16,30.870000000000005
0.28,105.95,75.09,30.86
0.28,105.95,75.09,30.86
0.28,106.12,75.25,30.870000000000005
0.28,106.06,75.17,30.89
0.28,105.96,75.08,30.879999999999995
0.28,105.95,75.07,30.88000000000001
0.28,105.96,75.08,30.879999999999995
0.29,107.07,76.12,30.94999999999999
0.29,106.1,75.2,30.89999999999999
0.29,105.99,75.1,30.89
0.29,106.06,75.16,30.900000000000006
0.29,105.98,75.08,30.900000000000006
0.29,105.98,75.07,30.91000000000001
0.29,106.14,75.23,30.909999999999997
0.29,106.1,75.19,30.909999999999997
0.29,106.01,75.09,30.92
0.29,106.0,75.08,30.92
0.29,106.01,75.09,30.92
0.3,107.12,76.13,30.99000000000001
0.3,106.15,75.2,30.950000000000003
0.3,106.03,75.1,30.930000000000007
0.3,106.1,75.17,30.929999999999993
0.3,106.03,75.09,30.939999999999998
0.3,106.02,75.08,30.939999999999998
0.3,106.19,75.25,30.939999999999998
0.3,106.14,75.2,30.939999999999998
0.3,106.01,75.08,30.930000000000007
0.3,106.01,75.08,30.930000000000007
0.3,106.01,75.08,30.930000000000007
0.31,107.12,76.12,31.0
0.31,106.15,75.2,30.950000000000003
0.31,106.04,75.1,30.940000000000012
0.31,106.1,75.16,30.939999999999998
0.31,106.03,75.09,30.939999999999998
0.31,106.03,75.08,30.950000000000003
0.31,106.2,75.25,30.950000000000003
0.31,106.12,75.18,30.939999999999998
0.31,106.03,75.1,30.930000000000007
0.31,106.02,75.09,30.929999999999993
0.31,106.02,75.09,30.929999999999993
0.32,107.14,76.14,31.0
0.32,106.16,75.21,30.950000000000003
0.32,106.05,75.12,30.929999999999993
0.32,106.12,75.18,30.939999999999998
0.32,106.05,75.12,30.929999999999993
0.32,106.05,75.12,30.929999999999993
0.32,106.2,75.29,30.909999999999997
0.32,106.13,75.22,30.909999999999997
0.32,106.03,75.12,30.909999999999997
0.32,106.02,75.12,30.89999999999999
0.32,106.02,75.12,30.89999999999999
0.33,107.13,76.16,30.97
0.33,106.17,75.24,30.930000000000007
0.33,106.05,75.14,30.909999999999997
0.33,106.12,75.2,30.92
0.33,106.05,75.13,30.92
0.33,106.05,75.12,30.929999999999993
0.33,106.23,75.28,30.950000000000003
0.33,106.15,75.2,30.950000000000003
0.33,106.06,75.11,30.950000000000003
0.33,106.04,75.1,30.940000000000012
0.33,106.05,75.11,30.939999999999998
0.34,107.15,76.15,31.0
0.34,106.17,75.24,30.930000000000007
0.34,106.06,75.15,30.909999999999997
0.34,106.12,75.21,30.91000000000001
0.34,106.05,75.15,30.89999999999999
0.34,106.05,75.15,30.89999999999999
0.34,106.14,75.24,30.900000000000006
0.34,106.16,75.24,30.92
0.34,106.06,75.15,30.909999999999997
0.34,106.05,75.14,30.909999999999997
0.34,106.05,75.14,30.909999999999997
0.35,107.15,76.18,30.97
0.35,106.2,75.26,30.939999999999998
0.35,106.08,75.16,30.92
0.35,106.14,75.21,30.930000000000007
0.35,106.07,75.14,30.929999999999993
0.35,106.07,75.13,30.939999999999998
0.35,106.25,75.3,30.950000000000003
0.35,106.25,75.29,30.959999999999994
0.35,106.0,75.05,30.950000000000003
0.35,105.87,74.93,30.939999999999998
0.35,105.86,74.93,30.929999999999993
0.36,106.97,75.97,31.0
0.36,106.0,75.05,30.950000000000003
0.36,105.88,74.95,30.929999999999993
0.36,105.94,75.01,30.929999999999993
0.36,105.87,74.94,30.930000000000007
0.36,105.86,74.93,30.929999999999993
0.36,106.04,75.1,30.940000000000012
0.36,105.96,75.03,30.929999999999993
0.36,105.86,74.94,30.92
0.36,105.85,74.94,30.909999999999997
0.36,105.85,74.94,30.909999999999997
0.37,106.96,75.99,30.97
0.37,106.0,75.09,30.909999999999997
0.37,105.89,75.0,30.89
0.37,105.95,75.06,30.89
0.37,105.88,74.98,30.89999999999999
0.37,105.87,74.97,30.900000000000006
0.37,106.03,75.13,30.900000000000006
0.37,105.97,75.07,30.900000000000006
0.37,105.87,74.98,30.89
0.37,105.86,74.97,30.89
0.37,105.85,74.96,30.89
0.384,106.97,76.0,30.97
0.39,106.97,76.0,30.97
0.39,106.96,75.99,30.97
0.39,106.96,75.99,30.97
0.39,106.95,75.98,30.97
0.39,106.95,75.98,30.97
0.39,106.95,75.98,30.97
0.39,106.97,76.0,30.97
0.39,106.94,75.98,30.959999999999994
0.39,106.94,75.99,30.950000000000003
0.39,106.94,75.99,30.950000000000003
0.39,106.94,75.99,30.950000000000003
0.4,106.93,75.99,30.940000000000012
0.4,106.94,76.0,30.939999999999998
0.4,106.94,76.0,30.939999999999998
0.4,106.93,75.99,30.940000000000012
0.4,106.93,75.99,30.940000000000012
0.4,106.94,76.01,30.929999999999993
0.4,106.93,76.01,30.92
0.4,107.04,76.11,30.930000000000007
0.4,107.22,76.28,30.939999999999998
0.4,107.29,76.35,30.940000000000012
0.401,107.39,76.44,30.950000000000003
0.41,107.38,76.44,30.939999999999998
0.41,107.38,76.44,30.939999999999998
0.41,107.38,76.43,30.94999999999999
0.41,107.38,76.43,30.94999999999999
0.41,107.38,76.43,30.94999999999999
0.41,107.38,76.44,30.939999999999998
0.41,107.39,76.44,30.950000000000003
0.41,107.39,76.43,30.959999999999994
0.41,107.38,76.42,30.959999999999994
0.41,107.39,76.43,30.959999999999994
0.41,107.39,76.43,30.959999999999994
0.42,107.39,76.42,30.97
0.42,107.39,76.43,30.959999999999994
0.42,107.39,76.43,30.959999999999994
0.42,107.39,76.44,30.950000000000003
0.42,107.39,76.43,30.959999999999994
0.42,107.38,76.42,30.959999999999994
0.42,107.4,76.42,30.980000000000004
0.42,107.39,76.42,30.97
0.42,107.4,76.43,30.97
0.42,107.4,76.43,30.97
0.42,107.4,76.43,30.97
0.43,107.4,76.43,30.97
0.43,107.4,76.43,30.97
0.43,107.41,76.43,30.97999999999999
