time, left_gate_raw, right_gate_raw
301170,202,164
301170,105,73
301170,93,62
301170,99,69
301170,92,62
301170,91,61
301170,109,78
301170,102,71
301170,92,61
301170,91,61
301170,90,60
301180,201,165
301180,104,72
301180,93,63
301180,99,69
301180,92,62
301180,91,61
301180,109,78
301180,101,70
301180,91,61
301180,91,61
301180,91,61
301190,202,165
301190,104,72
301190,93,63
301190,99,69
301190,91,62
301190,92,61
301190,110,79
301190,102,71
301190,92,61
301190,90,60
301190,91,61
301200,202,164
301200,105,72
301200,93,63
301200,99,69
301200,92,62
301200,91,61
301200,108,78
301200,101,71
301200,92,61
301200,91,61
301200,91,61
301210,202,165
301210,105,73
301210,93,63
301210,99,69
301210,92,62
301210,91,61
301210,109,79
301210,101,70
301210,91,61
301210,91,61
301210,90,60
301220,201,165
301220,105,72
301220,93,62
301220,99,69
301220,92,62
301220,91,61
301220,104,75
301220,107,77
301220,92,62
301220,91,61
301220,91,61
301230,202,165
301230,105,72
301230,93,63
301230,99,69
301230,91,62
301230,92,61
301230,108,77
301230,101,71
301230,92,62
301230,90,60
301230,91,61
301240,202,165
301240,105,73
301240,93,63
301240,99,69
301240,92,62
301240,92,61
301240,109,78
301240,101,70
301240,91,61
301240,91,61
301240,91,61
301250,201,164
301250,105,73
301250,93,63
301250,99,69
301250,92,62
301250,91,61
301250,109,78
301250,99,69
301250,91,61
301250,91,61
301250,91,61
301260,202,165
301260,105,73
301260,93,63
301260,99,69
301260,91,62
301260,92,62
301260,108,78
301260,101,71
301260,92,61
301260,90,60
301260,91,61
301270,202,164
301270,104,73
301270,94,63
301270,99,69
301270,92,62
301270,92,61
301270,107,78
301270,101,71
301270,92,61
301270,91,61
301270,91,61
301280,202,165
301280,105,73
301280,93,63
301280,99,69
301280,92,62
301280,91,61
301280,109,78
301280,101,69
301280,92,62
301280,91,61
301280,90,60
301290,202,165
301290,104,72
301290,93,63
301290,99,69
301290,92,62
301290,92,62
301290,108,78
301290,101,71
301290,92,62
301290,91,61
301290,91,61
301300,201,165
301300,105,73
301300,94,63
301300,99,69
301300,92,62
301300,91,61
301300,105,75
301300,106,75
301300,91,61
301300,90,61
301300,91,61
301310,200,164
301310,105,73
301310,93,63
301310,99,69
301310,92,62
301310,92,62
301310,108,78
301310,101,71
301310,91,61
301310,91,61
301310,91,61
301320,201,165
301320,105,73
301320,93,63
301320,99,69
301320,92,62
301320,91,61
301320,109,79
301320,101,70
301320,92,62
301320,91,61
301320,91,60
301330,202,165
301330,104,72
301330,93,63
301330,99,69
301330,92,62
301330,92,61
301330,109,79
301330,102,71
301330,91,61
301330,91,61
301330,91,61
301340,201,165
301340,105,73
301340,93,63
301340,100,69
301340,91,62
301340,92,62
301340,108,78
301340,102,71
301340,91,61
301340,91,61
301340,91,61
301350,202,165
301350,104,73
301350,94,64
301350,99,70
301350,91,61
301350,92,62
301350,100,70
301350,111,80
301350,91,61
301350,91,61
301350,91,61
301360,202,165
301360,105,73
301360,93,63
301360,100,69
301360,92,62
301360,92,62
301360,107,78
301360,102,71
301360,92,62
301360,90,60
301360,91,61
301370,202,165
301370,104,73
301370,93,64
301370,100,70
301370,92,62
301370,91,61
301370,108,77
301370,101,71
301370,92,62
301370,90,60
301370,91,61
301380,201,165
301380,105,73
301380,93,63
301380,99,70
301380,92,62
301380,92,61
301380,106,76
301380,105,74
301380,91,61
301380,91,61
301380,91,61
301390,202,165
301390,104,73
301390,93,63
301390,99,69
301390,92,62
301390,91,61
301390,109,78
301390,101,70
301390,91,61
301390,91,61
301390,90,60
301400,202,165
301400,104,72
301400,93,63
301400,99,69
301400,92,62
301400,92,61
301400,109,78
301400,101,71
301400,92,61
301400,91,61
301400,91,61
301410,201,165
301410,105,73
301410,93,63
301410,99,69
301410,92,62
301410,91,62
301410,109,78
301410,101,71
301410,92,62
301410,90,60
301410,91,61
301420,203,165
301420,104,72
301420,94,64
301420,99,69
301420,92,62
301420,92,62
301420,107,78
301420,102,71
301420,91,61
301420,91,61
301420,91,61
301430,200,165
301430,105,73
301430,94,64
301430,99,69
301430,92,62
301430,91,61
301430,101,71
301430,117,86
301430,104,73
301430,92,61
301430,91,61
301440,202,165
301440,105,73
301440,93,63
301440,99,69
301440,92,62
301440,91,61
301440,109,78
301440,101,70
301440,92,61
301440,91,61
301440,90,60
301450,201,164
301450,104,73
301450,93,63
301450,99,70
301450,92,62
301450,92,62
301450,109,78
301450,101,70
301450,92,62
301450,91,61
301450,91,61
301460,202,165
301460,105,73
301460,93,63
301460,100,70
301460,92,62
301460,92,61
301460,107,77
301460,104,73
301460,92,61
301460,91,61
301460,91,61
301470,202,165
301470,104,72
