time,left_gate_raw,right_gate_raw
29660,203,163
29660,104,71
29660,110,77
29660,114,82
29660,105,73
29660,111,79
29660,107,75
29660,99,68
29660,112,80
29660,97,66
29670,202,163
29670,104,71
29670,111,80
29670,112,82
29670,100,69
29670,111,80
29670,106,76
29670,99,68
29670,108,77
29670,97,67
29680,203,163
29680,104,71
29680,109,77
29680,114,83
29680,105,73
29680,111,79
29680,107,75
29680,99,68
29680,112,80
29680,97,67
29690,202,163
29690,104,71
29690,111,79
29690,114,82
29690,98,68
29690,109,77
29690,105,75
29690,99,68
29690,109,78
29690,98,67
29700,203,163
29700,105,71
29700,109,76
29700,114,82
29700,105,73
29700,110,79
29700,108,76
29700,98,67
29700,112,80
29700,98,67
29710,202,163
29710,104,71
29710,111,80
29710,114,82
29710,99,68
29710,111,80
29710,106,75
29710,100,69
29710,111,80
29710,97,67
29720,203,163
29720,105,71
29720,111,79
29720,114,83
29720,99,68
29720,112,80
29720,108,75
29720,99,67
29720,112,80
29720,98,68
29730,202,163
29730,105,71
29730,108,76
29730,113,82
29730,105,74
29730,110,79
29730,107,75
29730,98,67
29730,108,77
29730,98,67
29740,203,163
29740,104,71
29740,109,77
29740,114,82
29740,105,74
29740,110,79
29740,108,76
29740,99,68
29740,112,80
29740,97,67
29750,202,163
29750,104,71
29750,108,76
29750,113,82
29750,100,70
29750,109,78
29750,107,76
29750,103,72
29750,109,78
29750,98,67
29760,203,163
29760,104,71
29760,112,79
29760,114,82
29760,99,68
29760,112,80
29760,107,76
29760,100,68
29760,112,80
29760,99,67
29770,202,163
29770,104,71
29770,110,78
29770,112,82
29770,99,69
29770,108,78
29770,106,76
29770,103,73
29770,110,78
29770,97,67
29780,203,163
29780,104,71
29780,109,77
29780,113,82
29780,105,73
29780,110,79
29780,107,75
29780,99,67
29780,108,76
29780,98,68
29790,202,163
29790,104,71
29790,108,76
29790,114,83
29790,104,73
29790,110,79
29790,107,75
29790,98,67
29790,108,77
29790,97,67
29800,203,163
29800,104,71
29800,112,79
29800,114,82
29800,99,68
29800,112,80
29800,108,75
29800,99,67
29800,112,80
29800,99,68
29810,202,163
29810,104,71
29810,108,76
29810,113,82
29810,104,73
29810,110,78
29810,106,75
29810,98,67
29810,108,77
29810,98,67
29820,203,163
29820,105,71
29820,109,76
29820,114,82
29820,105,73
29820,111,79
29820,109,76
29820,107,76
29820,104,73
29820,96,67
29830,202,163
29830,104,72
29830,108,77
29830,113,83
29830,105,73
29830,110,78
29830,107,75
29830,98,67
29830,111,80
29830,98,67
29840,203,163
29840,104,71
29840,109,76
29840,114,82
29840,105,73
29840,110,78
29840,109,77
29840,104,72
29840,110,78
29840,99,67
29850,202,163
29850,104,71
29850,108,76
29850,113,82
29850,104,73
29850,110,79
29850,106,75
29850,99,68
29850,108,77
29850,97,67
29860,203,163
29860,104,71
29860,109,77
29860,113,82
29860,101,70
29860,110,78
29860,106,76
29860,105,73
29860,110,78
29860,99,67
29870,202,163
29870,104,71
29870,108,76
29870,114,82
29870,104,73
29870,110,79
29870,107,75
29870,98,67
29870,108,77
29870,97,67
29880,203,163
29880,104,71
29880,109,77
29880,114,82
29880,105,73
29880,110,78
29880,108,76
29880,98,67
29880,109,77
29880,100,67
29890,202,163
29890,104,71
29890,108,76
29890,113,82
29890,104,73
29890,110,79
29890,107,75
29890,98,67
29890,108,77
29890,97,67
29900,203,163
29900,104,71
29900,109,77
29900,114,83
29900,105,73
29900,111,79
29900,107,75
29900,99,68
29900,112,80
29900,98,67
29910,202,163
29910,104,71
29910,108,76
29910,113,83
29910,104,73
29910,110,79
29910,106,75
29910,98,68
29910,109,77
29910,98,67
29920,203,163
29920,104,71
29920,109,76
29920,113,82
29920,105,74
29920,111,79
29920,106,75
29920,100,68
29920,112,80
29920,97,67
29930,202,163
29930,104,71
29930,108,76
29930,114,83
29930,104,73
