time, left_gate_raw, right_gate_raw
182364,436,329
182374,436,330
182384,435,329
182394,436,331
182404,435,330
182414,436,330
182424,435,329
182434,436,330
182444,434,329
182454,437,330
182464,435,329
182474,436,330
182484,435,329
182494,437,330
182504,435,329
182514,436,330
182524,435,329
182534,436,329
182544,435,329
182554,436,330
182564,435,330
182574,436,331
182584,435,329
182594,436,330
182604,434,330
182614,436,330
182624,435,329
182634,437,330
182644,435,329
182654,436,330
182664,436,329
182674,437,330
182684,435,329
182694,436,330
182704,436,329
182714,437,331
182724,435,329
182734,437,330
182744,436,329
182754,437,330
182764,436,329
182774,437,330
182784,435,329
182794,436,330
182804,435,329
182814,436,330
182824,435,330
182834,436,330
182844,435,329
182854,436,330
182864,435,329
182874,437,330
182884,435,329
182894,436,330
182904,435,329
182919,438,330
182924,434,329
182934,436,330
182944,435,329
182954,436,331
182964,435,330
182974,436,330
182984,435,329
182994,437,331
183004,435,329
183014,436,330
183024,436,329
183034,436,331
183044,435,329
183054,436,331
183064,435,329
183074,436,330
183084,435,329
183094,436,331
183104,436,330
183114,436,330
183124,436,329
183134,436,330
183144,435,329
183154,436,330
183164,436,329
183174,437,330
183184,434,329
183194,437,331
183204,435,329
183214,436,330
183224,435,329
183234,436,330
183244,435,329
183254,436,330
183264,435,329
183274,436,330
183284,435,329
183294,436,330
183304,436,329
183314,436,330
183324,435,329
183334,436,331
183344,436,329
183354,436,330
183364,436,330
183374,436,330
183384,435,329
183394,436,330
183404,435,329
183414,436,331
183424,435,329
183434,436,330
183444,435,329
183454,436,330
183464,436,329
183474,437,330
183484,435,329
183494,437,330
183504,435,328
183514,436,330
183524,435,329
183534,436,330
183544,435,329
183554,436,330
183564,435,329
183574,437,330
183584,435,329
183594,436,330
183604,435,329
183614,436,330
183624,435,329
183634,436,330
183644,435,330
183654,436,331
183664,435,329
183674,436,330
183684,435,329
183694,437,330
183704,435,329
183714,437,330
183724,436,329
183734,437,330
183744,435,329
183754,436,330
183764,436,329
183774,436,330
183784,436,330
183794,436,330
183804,435,329
183814,437,330
183824,436,329
183834,437,331
183844,435,329
183854,437,331
183864,436,329
183874,436,330
183884,435,329
183894,437,330
183904,436,329
183914,437,330
183924,436,330
183934,436,330
183944,436,329
183954,437,331
183964,435,329
183974,437,330
183984,435,328
183994,437,330
184004,435,329
184014,437,330
184024,436,329
184034,437,331
184044,436,329
184054,438,330
184064,436,330
184074,438,329
184084,436,330
184094,438,330
184104,435,330
184114,436,331
184124,435,329
184134,437,330
184144,435,329
184154,437,330
184164,435,330
184174,436,330
184184,435,329
184194,436,330
184204,435,329
184214,436,331
184224,436,329
184234,437,330
184244,435,329
184254,436,330
184264,436,329
184274,437,330
184284,435,329
184294,437,330
184304,435,329
184314,437,330
184324,435,330
184334,436,330
184344,435,329
184354,436,330
184364,435,329
184374,436,330
184384,435,329
184394,436,330
184404,436,330
184414,436,330
184424,436,330
184434,436,330
184444,435,329
184454,436,331
184464,435,330
184474,436,330
184484,435,329
184494,437,330
184504,435,330
184514,436,330
184524,435,329
184534,436,331
184544,435,329
184554,436,331
184564,437,329
184574,436,331
184584,435,329
184594,437,330
184604,435,331
184614,436,330
184624,436,330
184634,436,330
184644,436,329
184654,436,330
184664,435,329
184674,436,330
184684,435,329
184694,436,330
184704,435,329
184714,436,330
184724,436,329
184734,437,330
184744,435,330
184754,436,330
184764,435,329
184774,436,330
184784,436,329
184794,436,330
184804,436,329
184814,436,330
184824,435,329
184834,436,331
184844,435,330
184854,436,330
184864,435,329
184874,437,330
184884,435,329
184894,435,330
184904,435,329
184914,436,331
184929,435,330
184934,435,330
184944,436,329
184954,436,330
184964,436,329
184974,437,331
184984,435,330
184994,437,330
185004,436,329
185014,436,330
185024,436,329
185034,437,330
185044,436,330
185054,436,330
185064,436,329
185074,436,330
185084,435,329
185094,437,330
185104,436,329
185114,436,330
185124,436,329
185134,437,330
185144,435,329
185154,436,330
185164,436,328
185174,437,330
185184,435,329
185194,437,330
185204,435,329
185214,436,330
185224,435,329
185234,437,330
185244,436,329
185254,436,330
185264,436,329
185274,436,330
185284,436,328
185294,436,330
185304,436,329
185314,436,330
185324,436,329
185334,436,330
185344,436,329
185354,437,330
185364,436,329
185374,436,330
185384,436,329
185394,436,330
185404,436,329
185414,436,330
185424,436,329
185434,436,330
185444,436,329
185454,436,330
185464,436,329
185474,436,330
185484,435,329
185494,436,330
185504,436,329
185514,436,330
185524,436,329
185534,436,330
185544,436,329
185554,436,330
185564,436,329
185574,435,331
185584,436,330
185594,436,330
185604,435,329
185614,435,331
185624,436,329
185634,436,330
185644,436,329
185654,437,330
185664,436,329
185674,436,330
185684,436,329
185694,436,330
185704,436,329
185714,436,330
185724,436,329
185734,436,331
185744,436,329
185754,436,330
185764,436,329
185774,437,330
185784,436,329
185794,436,330
185804,436,329
185814,436,330
185824,436,329
185834,436,330
185844,436,329
185854,436,331
185864,435,329
185874,436,331
185884,436,329
185894,436,330
185904,436,329
185914,436,330
185924,436,329
185934,436,330
185944,436,329
185954,436,331
185964,436,330
185974,436,330
185984,436,329
185994,436,330
186004,436,330
186014,436,331
186024,436,329
186034,436,330
186044,436,329
186054,436,331
186064,436,329
186074,436,331
186084,436,330
186094,436,331
186104,436,329
186114,436,331
186124,436,330
186134,436,330
186144,436,329
186154,436,331
186164,436,329
186174,436,331
186184,436,330
186194,436,331
186204,436,329
186214,436,331
186224,436,330
186234,436,331
186244,436,331
186254,436,331
186264,436,330
186274,436,332
186284,436,330
186294,436,331
186304,436,331
186314,436,331
186324,436,330
186334,435,332
186344,435,331
186354,435,332
186364,437,330
186374,436,333
186384,436,332
186394,436,333
186404,436,332
186414,436,333
186424,436,332
186434,436,333
186444,436,332
186454,436,333
186464,437,333
186474,436,334
186484,436,333
186494,436,334
186504,436,333
186514,437,334
186524,436,333
186534,436,335
186544,437,333
186554,436,334
186564,436,333
186574,436,334
186584,436,333
186594,437,335
186604,436,334
186614,436,336
186624,436,335
186634,437,336
186644,436,334
186654,437,336
186664,437,330
186674,447,335
186684,437,335
186694,436,337
186704,435,336
186714,436,337
186724,436,336
186734,436,337
186744,436,337
186754,435,338
186764,436,337
186774,436,338
186784,436,336
186794,435,335
186804,435,336
186814,435,337
186824,435,336
186834,435,337
186844,435,335
186854,435,338
186864,435,336
186874,435,337
186884,435,336
186894,435,337
186904,435,336
186914,434,338
186924,435,337
186939,437,338
186944,433,337
186954,435,339
186964,435,338
186974,435,339
186984,435,339
186994,435,340
187004,435,340
187014,435,341
187024,435,340
187034,435,341
187044,435,340
187054,435,342
187064,435,341
187074,436,342
187084,436,341
187094,437,343
187104,436,341
187114,437,342
187124,437,341
187134,436,342
187144,436,341
187154,437,342
187164,437,340
187174,438,341
187184,439,340
187194,439,340
187204,439,339
187214,440,339
187224,440,338
187234,441,338
187244,441,337
187254,442,338
187264,442,336
187274,443,336
187284,443,335
187294,444,336
187304,444,334
187314,446,335
187324,446,334
187334,446,334
187344,448,333
187354,449,333
187364,449,333
187374,449,333
187384,450,332
187394,450,332
187404,452,331
187414,452,332
187424,454,330
187434,454,331
187444,456,330
187454,458,331
187464,457,329
187474,458,330
187484,459,329
187494,459,329
187504,459,328
187514,459,329
187524,459,329
187534,458,330
187544,458,328
187554,457,329
187564,457,329
187574,456,329
187584,456,328
187594,455,329
187604,455,328
187614,454,329
187624,453,328
187634,453,329
187644,452,329
187654,452,330
187664,452,328
187674,450,329
187684,451,328
187694,450,329
187704,450,329
187714,451,329
187724,450,329
187734,449,329
187744,450,328
187754,449,329
187764,450,328
187774,449,329
187784,449,328
187794,448,329
187804,449,328
187814,448,328
187824,448,328
187834,448,329
187844,447,328
187854,447,329
187864,447,328
187874,447,329
187884,447,328
187894,447,329
187904,447,329
187914,446,329
187924,446,329
187934,445,329
187944,446,329
187954,445,330
187964,444,329
187974,443,331
187984,444,329
187994,443,330
188004,443,330
188014,443,331
188024,443,330
188034,443,331
188044,442,330
188054,442,331
188064,443,330
188074,442,331
188084,442,329
188094,442,331
188104,443,330
188114,442,331
188124,443,330
188134,443,330
188144,442,330
188154,442,331
188164,443,330
188174,442,330
188184,442,330
188194,442,330
188204,442,329
188214,442,331
188224,442,330
188234,442,330
188244,442,329
188254,442,331
188264,442,330
188274,441,331
188284,442,329
188294,442,331
188304,442,329
188314,442,331
188324,442,329
188334,442,331
188344,441,330
188354,442,331
188364,441,330
188374,442,330
188384,441,330
188394,442,331
188404,442,330
188414,442,331
188424,441,330
188434,441,331
188444,442,330
188454,441,331
188464,442,330
188474,441,330
188484,441,330
188494,441,330
188504,441,330
188514,441,330
188524,441,329
188534,441,330
188544,441,329
188554,442,330
188564,441,329
188574,441,331
188584,441,329
188594,442,330
188604,441,330
188614,440,330
188624,441,329
188634,440,331
188644,441,329
188654,441,331
188664,440,329
188674,441,330
188684,441,329
188694,441,330
188704,441,329
188714,441,330
188724,441,329
188734,441,331
188744,441,329
188754,441,330
188764,441,329
188774,441,331
188784,441,329
188794,440,331
188804,441,330
188814,441,330
188824,441,329
188834,440,330
188844,441,329
188854,440,331
188864,441,329
188874,441,330
188884,442,329
188894,440,330
188904,440,330
188914,441,330
188924,440,329
188934,441,330
188949,439,330
188954,439,331
188964,440,330
188974,440,330
188984,440,329
188994,440,330
189004,440,330
189014,440,330
189024,440,330
189034,440,330
189044,440,329
189054,440,331
189064,440,329
189074,440,330
189084,440,329
189094,440,331
189104,440,329
189114,440,331
189124,440,330
189134,440,330
189144,441,329
189154,441,331
189164,440,330
189174,441,330
189184,441,329
189194,441,331
189204,441,329
189214,441,331
189224,441,329
189234,440,331
189244,441,329
189254,441,330
189264,441,329
189274,442,330
189284,441,329
189294,441,330
189304,441,329
189314,442,330
189324,441,330
189334,442,330
189344,442,329
189354,442,330
189364,442,329
189374,441,330
189384,442,329
189394,442,330
189404,442,329
189414,441,330
189424,442,329
189434,442,330
189444,442,329
189454,442,330
189464,442,329
189474,442,330
189484,442,329
189494,442,330
189504,442,329
189514,442,330
189524,442,329
189534,442,330
189544,442,329
189554,442,330
189564,442,329
189574,442,330
189584,442,329
189594,442,330
189604,442,329
189614,443,330
189624,446,327
189634,446,329
189644,446,328
189654,446,329
189664,446,327
189674,446,328
189684,446,328
189694,446,329
189704,446,328
189714,445,328
189724,446,327
189734,446,329
189744,445,328
189754,446,329
189764,447,328
189774,446,328
189784,446,327
189794,447,329
189804,447,328
189814,447,328
189824,446,327
189834,448,329
189844,449,327
189854,449,329
189864,450,328
189874,450,329
189884,451,327
189894,451,329
189904,453,328
189914,454,329
189924,453,328
189934,455,329
189944,455,328
189954,456,329
189964,456,327
189974,456,329
189984,456,327
189994,456,328
190004,457,328
190014,457,328
190024,457,328
190034,456,329
190044,457,328
190054,456,329
190064,456,328
190074,456,329
190084,456,328
190094,455,329
190104,455,328
190114,456,329
190124,455,328
190134,454,330
190144,454,329
190154,453,330
190164,453,329
190174,453,330
190184,452,329
190194,451,331
190204,451,330
190214,448,331
190224,448,331
190234,448,332
190244,447,331
190254,447,333
190264,446,332
190274,446,334
190284,445,334
190294,445,336
190304,444,335
190314,443,337
190324,443,337
190334,443,338
190344,443,338
190354,442,339
190364,442,339
190374,441,340
190384,441,339
190394,441,341
190404,440,340
190414,439,341
190424,439,340
190434,439,341
190444,438,340
190454,438,341
190464,438,340
190474,438,341
190484,438,340
190494,438,340
190504,437,340
190514,437,340
190524,437,339
190534,437,340
190544,437,339
190554,437,340
190564,437,339
190574,438,340
190584,437,336
190594,437,339
190604,437,338
190614,437,339
190624,437,338
190634,437,339
190644,437,338
190654,437,339
190664,437,337
190674,437,338
190684,437,338
190694,437,338
190704,438,336
190714,437,337
190724,437,336
190734,438,337
190744,438,336
190754,438,337
190764,438,335
190774,438,337
190784,438,335
190794,439,336
190804,438,335
190814,438,336
190824,438,336
190834,438,336
190844,438,335
190854,439,336
190864,438,335
190874,439,336
190884,439,335
190894,439,336
190904,439,335
190914,440,336
190924,439,335
190934,439,336
190944,439,335
190959,440,335
190964,437,334
190974,439,335
190984,439,334
190994,439,335
191004,439,334
191014,439,335
191024,439,334
191034,438,335
191044,439,334
191054,439,335
191064,439,334
191074,439,335
191084,439,334
191094,439,336
191104,439,334
191114,438,335
191124,438,334
191134,438,335
191144,438,334
191154,438,335
191164,437,335
191174,437,334
191184,437,333
191194,437,334
191204,437,333
191214,437,334
191224,437,333
191234,437,334
191244,437,333
191254,437,333
191264,437,333
191274,437,334
191284,437,333
191294,437,334
191304,437,332
191314,436,333
191324,437,332
191334,437,333
191344,437,332
191354,437,333
191364,437,333
191374,437,333
191384,437,332
191394,437,333
191404,437,332
191414,437,332
191424,437,330
191434,437,332
191444,437,330
191454,436,330
191464,437,330
191474,436,330
191484,436,330
191494,437,330
191504,437,329
191514,436,330
191524,436,330
191534,436,330
191544,437,329
191554,437,330
191564,436,329
191574,435,330
191584,437,329
191594,437,330
191604,437,329
191614,436,330
191624,437,329
191634,437,330
