time,left_gate_raw,right_gate_raw
450125,213,177
450125,114,82
450125,122,91
450125,120,90
450125,115,83
450125,114,82
450125,112,82
450125,120,90
450125,104,73
450126,111,80
450130,212,176
450130,113,82
450130,120,90
450130,126,95
450130,113,83
450130,119,89
450130,120,89
450130,113,82
450130,103,73
450131,116,85
450135,209,175
450135,112,81
450135,123,94
450135,118,90
450135,113,83
450135,112,83
450135,117,88
450135,112,83
450135,112,82
450136,112,83
450140,212,176
450140,113,82
450140,120,90
450140,126,95
450140,114,83
450140,112,82
450140,119,89
450140,113,82
450140,112,82
450141,106,76
450145,213,176
450145,115,82
450145,121,90
450145,120,90
450145,115,84
450145,120,89
450145,114,83
450145,118,88
450145,112,82
450146,121,89
450150,212,176
450150,113,82
450150,119,89
450150,126,95
450150,113,83
450150,124,94
450150,114,83
450150,111,81
450150,110,80
450151,122,91
450155,210,175
450155,118,87
450155,112,83
450155,125,95
450155,117,88
450155,113,83
450155,118,88
450155,119,89
450155,101,73
450156,121,91
450160,211,175
450160,114,82
450160,119,89
450160,125,95
450160,114,84
450160,112,82
450160,119,89
450160,113,83
450160,112,82
450161,114,83
450165,213,176
450165,120,88
450165,115,84
450165,122,90
450165,113,82
450165,121,91
450165,114,83
450165,118,88
450165,112,83
450166,120,90
450170,212,176
450170,114,82
450170,120,90
450170,120,89
450170,114,83
450170,119,88
450170,119,88
450170,118,88
450170,104,74
450171,116,85
450175,210,175
450175,119,88
450175,111,84
450175,125,95
450175,112,82
450175,118,88
450175,122,93
450175,113,83
450175,103,73
450176,120,90
450180,211,176
450180,120,88
450180,114,83
450180,126,96
450180,119,89
450180,113,83
450180,118,88
450180,114,83
450180,103,73
450181,115,86
450185,213,176
450185,115,82
450185,121,90
450185,120,90
450185,119,89
450185,115,83
450185,114,83
450185,112,82
450185,112,80
450186,111,80
450190,212,176
450190,119,88
450190,114,84
450190,125,95
450190,120,89
450190,120,89
450190,113,82
450190,117,88
450190,104,74
450195,209,175
450195,113,82
450195,119,89
450195,123,94
450195,119,89
450195,117,88
450195,118,88
450195,105,75
450195,112,82
450196,121,91
450200,211,176
450200,113,82
450200,126,95
450200,125,95
450200,114,83
450200,113,83
450200,123,93
450200,114,83
450200,102,73
450201,122,92
450205,212,177
450205,121,89
450205,115,84
450205,127,96
450205,114,83
450205,124,94
450205,115,83
450205,114,83
450205,104,74
450206,117,85
450210,212,176
450210,119,88
450210,115,84
450210,119,89
450210,119,90
450210,112,83
450210,114,83
450210,111,82
450210,119,88
450211,113,83
450215,210,175
450215,118,87
450215,113,83
450215,129,99
450215,113,83
450215,118,88
450215,118,88
450215,112,82
450215,103,73
450216,120,90
450220,212,176
450220,112,81
450220,120,89
450220,131,100
450220,114,84
450220,113,83
450220,124,94
450220,113,82
450220,103,74
450221,122,92
450225,214,176
450225,120,88
450225,115,84
450225,127,96
450225,121,89
450225,113,83
450225,114,83
450225,120,88
450225,105,74
450226,122,91
450230,211,176
450230,112,82
450230,121,90
450230,126,95
450230,112,83
450230,112,83
450230,118,88
450230,112,83
450230,113,83
450231,112,83
450235,209,175
450235,112,81
450235,119,89
450235,129,100
450235,113,83
450235,118,88
450235,118,88
450235,117,88
450235,102,74
450236,116,87
450240,212,176
450240,113,81
450240,119,90
450240,126,96
450240,113,83
450240,113,83
