time,left_gate_raw,right_gate_raw
61054,445,345
61064,443,343
61074,445,345
61084,444,342
61094,443,345
61104,443,342
61114,444,345
61124,444,343
61134,443,345
61144,444,343
61154,445,344
61164,445,342
61174,446,344
61184,446,343
61194,446,344
61204,445,343
61214,445,344
61224,446,343
61234,446,345
61244,446,342
61254,445,345
61264,446,343
61274,446,345
61284,446,343
61294,446,345
61304,446,343
61314,446,345
61324,445,343
61334,444,345
61344,444,343
61354,444,345
61364,443,343
61374,445,345
61384,442,344
61394,444,344
61404,444,343
61414,443,344
61424,443,342
61434,442,345
61444,442,343
61454,445,344
61464,445,343
61474,446,344
61484,445,343
61494,445,344
61504,445,343
61514,446,344
61524,445,343
61534,446,344
61544,445,343
61554,446,344
61564,446,343
61574,446,345
61584,446,343
61594,446,345
61604,446,343
61614,446,345
61624,445,343
61634,443,345
61644,444,343
61654,444,345
61664,443,343
61674,445,344
61684,445,343
61694,444,345
61704,444,343
61714,443,344
61724,442,342
61734,444,344
61744,443,342
61754,443,345
61764,443,343
61774,446,344
61784,445,343
61794,445,344
61804,446,343
61814,446,344
61824,445,343
61834,446,344
61844,446,343
61854,446,345
61864,446,343
61874,445,345
61884,446,343
61894,445,345
61904,445,342
61914,445,345
61924,446,342
61934,445,345
61944,446,342
61954,443,345
61964,444,342
61974,443,345
61984,446,343
61994,442,345
62004,445,342
62014,442,345
62024,446,341
62034,443,345
62044,445,343
62054,443,345
62064,443,341
62074,443,345
62084,444,342
62094,445,344
62104,443,341
62114,445,345
62124,445,342
62134,446,345
62144,446,342
62154,446,345
62164,446,342
62174,445,345
62184,446,342
62194,446,346
62204,445,342
62214,446,346
62224,446,342
62234,446,345
62244,445,342
62254,445,346
62264,445,342
62274,444,345
62284,443,342
62294,443,345
62304,445,342
62319,448,343
62324,439,342
62334,443,345
62344,444,342
62354,443,345
62364,443,341
62374,444,345
62384,445,342
62394,445,345
62404,443,341
62414,445,345
62424,444,342
62434,446,345
62444,446,342
62454,446,345
62464,446,342
62474,446,345
62484,445,342
62494,446,345
62504,446,342
62514,446,345
62524,446,342
62534,446,345
62544,446,342
62554,446,345
62564,445,342
62574,443,345
62584,444,342
62594,444,345
62604,444,342
62614,446,345
62624,445,342
62634,444,345
62644,442,342
62654,444,345
62664,442,343
62674,443,345
62684,442,342
62694,445,345
62704,444,341
62714,446,345
62724,445,341
62734,447,345
62744,445,342
62754,446,345
62764,445,342
62774,446,345
62784,445,342
62794,447,345
62804,445,342
62814,446,345
62824,444,342
62834,447,345
62844,444,342
62854,447,345
62864,445,342
62874,447,345
62884,442,342
62894,446,345
62904,444,342
62914,444,345
62924,443,342
62934,446,345
62944,444,342
62954,446,345
62964,442,342
62974,447,345
62984,443,341
62994,445,345
63004,441,342
63014,447,345
63024,444,342
63034,447,345
63044,444,342
63054,447,345
63064,444,342
