time, left_gate_raw, right_gate_raw
498700,201,161
498700,104,71
498700,100,69
498700,91,61
498700,105,73
498700,109,77
498700,106,75
498700,104,72
498700,110,79
498700,106,75
498710,200,161
498710,103,71
498710,100,69
498710,91,61
498710,101,71
498710,111,80
498710,108,78
498710,104,73
498710,108,77
498710,106,75
498720,201,161
498720,104,71
498720,100,69
498720,91,61
498720,105,73
498720,109,77
498720,106,75
498720,104,72
498720,110,79
498720,106,75
498730,200,160
498730,103,70
498730,100,69
498730,90,61
498730,104,73
498730,108,77
498730,106,75
498730,104,72
498730,108,77
498730,106,75
498740,200,161
498740,104,71
498740,100,69
498740,92,61
498740,104,73
498740,109,77
498740,107,75
498740,103,71
498740,109,76
498740,106,76
498750,200,160
498750,103,71
498750,100,69
498750,91,61
498750,104,73
498750,108,77
498750,107,76
498750,103,72
498750,109,77
498750,106,75
498760,201,161
498760,104,71
498760,100,69
498760,92,61
498760,104,73
498760,110,78
498760,106,75
498760,104,72
498760,110,78
498760,106,75
498770,199,161
498770,104,71
498770,99,68
498770,90,61
498770,103,72
498770,109,77
498770,105,76
498770,103,72
498770,106,75
498770,106,75
498780,201,161
498780,103,70
498780,100,68
498780,91,62
498780,106,75
498780,109,77
498780,107,76
498780,104,72
498780,109,77
498780,106,75
498790,200,161
498790,103,71
498790,100,69
498790,91,61
498790,103,72
498790,109,77
498790,105,75
498790,103,72
498790,109,77
498790,107,77
498800,201,160
498800,104,70
498800,100,68
498800,92,61
498800,104,73
498800,109,77
498800,106,76
498800,105,73
498800,109,77
498800,106,74
498810,200,161
498810,103,71
498810,100,69
498810,91,61
498810,103,73
498810,108,77
498810,100,69
498810,111,79
498810,109,77
498810,106,75
498820,201,161
498820,104,70
498820,100,68
498820,92,61
498820,104,73
498820,109,77
498820,107,75
498820,104,72
498820,110,77
498820,105,75
498830,200,161
498830,103,71
498830,100,69
498830,92,61
498830,99,69
498830,105,74
498830,100,69
498830,91,60
498830,89,60
498830,105,74
498830,100,69
498840,201,161
498840,104,70
498840,100,68
498840,92,61
498840,104,73
498840,109,77
498840,106,76
498840,104,73
498840,110,78
498840,106,75
498850,200,161
498850,103,71
498850,100,69
498850,91,62
498850,103,72
498850,109,77
498850,105,75
498850,103,72
498850,106,75
498850,105,75
498860,201,161
498860,104,70
498860,100,68
498860,91,61
498860,105,73
498860,110,78
498860,106,76
498860,104,72
498860,110,78
498860,106,74
498870,200,161
498870,103,70
498870,100,69
498870,91,61
498870,103,72
498870,108,77
498870,106,76
498870,103,72
498870,109,78
498870,106,75
498880,201,161
498880,104,70
498880,100,68
498880,91,61
498880,102,71
498880,112,80
498880,110,78
498880,104,72
498880,109,78
498880,106,74
498890,200,161
498890,103,71
498890,100,69
498890,91,62
498890,103,73
498890,109,77
498890,105,75
498890,103,72
498890,106,75
498890,106,76
498900,201,161
498900,104,70
498900,100,68
498900,91,61
498900,105,73
498900,109,77
498900,105,76
498900,104,73
498900,110,78
498900,105,75
498910,200,161
498910,103,71
498910,100,69
498910,92,62
498910,103,72
498910,108,77
498910,107,76
498910,102,72
498910,106,75
498910,106,76
498920,201,161
498920,104,70
498920,100,68
498920,92,61
498920,104,73
498920,109,77
498920,107,76
498920,104,72
498920,110,78
498920,106,74
498930,200,161
498930,103,70
498930,100,69
498930,91,62
498930,103,73
498930,109,77
498930,106,76
498930,103,72
498930,109,78
498930,106,75
498940,201,161
498940,104,70
498940,100,68
498940,92,62
498940,104,73
498940,109,77
498940,107,76
498940,104,72
498940,110,78
498940,106,74
498950,200,161
498950,102,70
498950,100,69
498950,91,61
498950,104,75
498950,109,78
498950,106,76
498950,103,72
498950,109,78
498950,105,75
498960,200,161
498960,104,71
498960,100,68
498960,92,62
498960,104,73
498960,109,77
498960,107,75
498960,104,72
498960,109,77
498960,108,76
498970,200,161
498970,103,71
498970,100,69
498970,91,61
498970,103,72
498970,109,77
498970,106,76
498970,103,72
498970,108,78
498970,107,76
498980,201,161
498980,104,71
498980,100,68
498980,91,62
498980,105,73
498980,108,77
498980,100,69
498980,112,80
498980,110,77
498980,106,75
498990,200,160
498990,103,71
498990,100,69
498990,91,62
498990,103,72
498990,108,77
498990,107,76
498990,103,72
498990,104,74
498990,106,76
499000,201,161
499000,104,70
499000,100,69
499000,90,62
499000,101,70
499000,105,74
499000,101,70
499000,91,61
499000,91,60
499000,105,74
499000,100,69
499010,200,161
499010,103,71
499010,100,69
499010,91,62
499010,104,73
499010,108,77
499010,106,76
499010,103,72
499010,109,78
499010,106,77
499020,201,161
499020,104,71
499020,100,69
499020,91,61
499020,105,73
499020,109,77
499020,106,75
499020,104,72
499020,109,77
499020,107,76
499030,200,160
499030,103,71
499030,100,69
499030,92,62
499030,103,73
499030,109,78
499030,106,76
499030,104,73
499030,108,77
499030,106,76
499040,201,161
499040,104,71
499040,100,69
499040,91,61
499040,104,73
499040,110,78
499040,107,75
499040,104,72
499040,109,78
499040,107,76
499050,200,160
499050,103,71
499050,100,69
499050,91,61
499050,101,70
499050,104,73
499050,100,70
499050,91,61
499050,90,60
499050,104,74
499050,100,69
499060,201,161
499060,104,71
499060,100,69
499060,92,61
499060,104,72
499060,109,77
499060,105,76
499060,104,73
499060,109,78
499060,106,75
499070,200,161
499070,103,70
499070,99,68
499070,91,61
499070,104,71
499070,108,77
499070,106,76
499070,104,73
499070,106,74
499070,106,75
499080,201,161
499080,104,71
499080,100,69
499080,92,61
499080,104,73
499080,109,77
499080,106,75
499080,104,73
499080,109,78
499080,106,75
499090,200,160
499090,103,71
499090,100,69
499090,92,62
499090,103,72
499090,109,77
499090,106,75
499090,103,72
499090,109,77
499090,106,75
499100,201,161
499100,104,71
499100,100,69
499100,91,61
499100,103,72
499100,112,80
499100,110,78
499100,104,72
499100,109,78
499100,107,75
499110,200,161
499110,103,71
499110,100,69
499110,92,61
499110,104,72
499110,108,77
499110,106,75
499110,103,72
499110,109,77
499110,106,75
499120,201,161
499120,105,71
499120,100,68
499120,92,61
499120,104,73
499120,109,77
499120,106,75
499120,104,72
499120,110,78
499120,107,75
499130,200,160
499130,103,71
499130,100,69
499130,91,62
499130,104,73
499130,109,77
499130,106,75
499130,103,72
499130,107,76
499130,107,75
499140,201,161
499140,104,71
499140,100,69
499140,92,61
499140,104,73
499140,109,77
499140,107,75
499140,104,72
499140,109,77
499140,107,75
499150,200,161
