time, left_gate_raw, right_gate_raw
262780,201,165
262780,103,73
262780,106,78
262780,101,72
262780,112,83
262780,110,81
262780,100,72
262780,103,74
262780,109,80
262780,109,80
262790,200,165
262790,103,73
262790,109,79
262790,108,79
262790,98,70
262790,108,79
262790,91,63
262790,100,72
262790,102,74
262790,103,74
262800,201,165
262800,103,73
262800,108,79
262800,107,79
262800,104,75
262800,110,81
262800,100,72
262800,103,75
262800,109,80
262800,109,80
262810,200,165
262810,103,73
262810,107,79
262810,107,79
262810,104,76
262810,107,78
262810,91,62
262810,100,71
262810,102,74
262810,98,69
262811,107,79
262820,201,165
262820,103,73
262820,108,79
262820,107,79
262820,104,75
262820,110,81
262820,100,72
262820,110,82
262820,103,75
262820,109,80
262830,200,165
262830,103,73
262830,108,79
262830,107,79
262830,104,76
262830,109,80
262830,101,72
262830,103,75
262830,109,80
262830,109,80
262840,201,165
262840,103,73
262840,108,79
262840,107,79
262840,104,75
262840,110,81
262840,102,72
262840,103,74
262840,109,80
262840,109,80
262850,201,165
262850,103,73
262850,106,77
262850,101,72
262850,112,83
262850,110,81
262850,101,72
262850,103,74
262850,109,81
262850,109,79
262860,201,165
262860,103,72
262860,106,76
262860,101,73
262860,112,83
262860,110,81
262860,101,72
262860,103,74
262860,109,80
262860,109,81
262870,200,165
262870,103,73
262870,108,79
262870,106,79
262870,104,76
262870,109,80
262870,101,73
262870,104,76
262870,105,76
262870,108,79
262880,201,165
262880,103,73
262880,109,79
262880,106,79
262880,104,75
262880,110,81
262880,101,72
262880,103,75
262880,109,80
262880,109,80
262890,200,165
262890,104,73
262890,108,78
262890,107,79
262890,104,75
262890,109,81
262890,102,72
262890,103,74
262890,109,80
262890,109,81
262900,201,165
262900,103,73
262900,108,78
262900,107,79
262900,104,75
262900,110,81
262900,100,72
262900,104,75
262900,109,80
262900,109,79
262910,200,165
262910,104,75
262910,106,77
262910,102,73
262910,112,83
262910,109,80
262910,100,73
262910,104,75
262910,109,80
262910,109,80
262920,201,165
262920,103,73
262920,109,79
262920,107,79
262920,103,75
262920,110,81
262920,101,72
262920,103,75
262920,110,81
262920,109,79
262930,200,165
262930,103,73
262930,108,79
262930,107,79
262930,104,75
262930,106,77
262930,91,63
262930,100,72
262930,102,74
262930,98,70
262931,107,78
262940,201,165
262940,103,73
262940,109,79
262940,106,78
262940,104,76
262940,110,81
262940,100,72
262940,103,75
262940,109,80
262940,109,80
262950,200,164
262950,103,73
262950,108,78
262950,107,79
262950,104,76
262950,110,81
262950,100,72
262950,103,75
262950,110,80
262950,109,80
262960,201,165
262960,105,74
262960,106,77
262960,102,73
262960,112,83
262960,109,80
262960,101,72
262960,103,75
262960,109,80
262960,109,80
262970,200,165
262970,103,73
262970,108,79
262970,107,79
262970,104,75
262970,109,81
262970,100,73
262970,104,75
262970,110,81
262970,109,81
262980,201,165
262980,104,73
262980,106,77
262980,101,72
262980,112,83
262980,110,81
262980,101,72
262980,103,74
262980,109,80
262980,109,80
262990,200,165
262990,103,73
262990,107,79
262990,108,79
262990,104,75
262990,107,79
262990,91,63
262990,101,72
262990,102,74
262990,98,69
263000,201,165
263000,104,73
263000,108,79
263000,107,78
263000,104,75
263000,110,81
263000,100,72
263000,103,75
263000,109,80
263000,109,80
263010,201,166
263010,102,72
263010,109,80
263010,108,79
263010,104,75
263010,109,81
263010,101,72
263010,104,75
263010,109,80
263010,109,81
263020,201,165
263020,104,73
263020,108,79
263020,108,79
263020,104,75
263020,109,80
263020,100,72
263020,104,75
263020,109,80
263020,110,81
263030,200,165
263030,103,73
263030,108,79
263030,106,79
263030,104,76
263030,107,78
263030,91,63
263030,100,72
263030,103,74
263030,98,69
263040,201,165
263040,103,73
263040,109,79
263040,107,79
263040,104,75
263040,109,80
263040,101,73
263040,107,78
263040,103,74
263040,106,77
263050,200,165
263050,103,73
263050,108,79
263050,107,79
263050,104,75
263050,110,81
263050,100,72
263050,104,75
263050,109,80
263050,109,80
263060,201,165
263060,103,73
263060,109,79
263060,107,79
263060,99,71
263060,108,80
263060,91,63
263060,100,72
263060,102,74
263060,98,69
263061,108,78
263070,200,165
263070,103,73
263070,108,79
263070,106,79
263070,104,76
263070,107,78
263070,91,62
263070,100,72
263070,102,74
263070,98,69
263071,106,78
263080,201,165
263080,103,73
263080,108,79
263080,108,79
263080,104,75
263080,110,81
263080,100,72
263080,104,75
263080,109,80
263080,109,80
263090,201,164
263090,103,73
263090,108,79
263090,106,79
263090,105,77
263090,109,80
263090,100,71
263090,100,72
263090,111,82
263090,106,77
263100,201,165
263100,103,73
263100,109,79
263100,106,79
263100,104,76
263100,110,81
263100,101,72
263100,103,75
263100,109,80
263100,109,80
263110,200,165
263110,103,73
263110,108,80
263110,106,78
263110,104,76
263110,106,78
263110,92,63
263110,99,71
263110,101,74
263110,98,69
263111,108,79
263120,201,165
263120,103,73
263120,108,79
263120,108,79
263120,104,75
263120,109,81
263120,100,72
263120,104,75
263120,109,80
263120,109,79
263130,200,165
263130,103,73
263130,109,79
263130,107,79
263130,104,75
263130,106,78
263130,91,63
263130,100,72
263130,102,74
263130,98,70
263140,201,165
263140,103,73
263140,109,79
263140,106,79
263140,104,76
263140,107,78
263140,91,63
263140,99,72
263140,104,75
263140,98,69
263150,200,165
263150,103,73
263150,106,78
263150,107,79
263150,104,76
263150,107,78
263150,90,62
263150,100,72
263150,103,74
263150,97,69
263151,108,80
263160,201,165
263160,103,72
263160,109,79
263160,100,71
263160,112,83
263160,110,81
263160,99,72
263160,103,74
263160,109,81
263160,106,77
263170,200,165
263170,103,73
263170,108,79
263170,107,79
263170,104,75
263170,110,81
263170,100,71
263170,104,75
263170,109,80
263170,109,80
263180,201,165
263180,104,73
263180,108,79
263180,107,79
263180,104,76
263180,107,78
263180,90,63
263180,100,71
263180,102,74
263180,98,70
263190,200,165
263190,103,73
263190,107,78
263190,107,79
263190,104,75
263190,106,78
263190,91,63
263190,101,72
263190,102,74
263190,99,70
263200,201,165
263200,104,73
263200,108,79
263200,107,79
263200,104,75
263200,106,77
263200,91,62
263200,100,72
263200,102,74
263200,98,70
263210,200,165
263210,103,73
263210,107,79
263210,107,80
263210,99,71
263210,109,80
263210,91,63
263210,111,82
263210,109,80
263210,106,77
263220,201,165
263220,104,73
263220,108,79
263220,107,78
263220,104,75
263220,110,81
263220,102,71
263220,102,74
263220,110,80
263220,109,80
263230,200,165
263230,103,73
263230,107,79
263230,108,79
263230,103,75
263230,107,78
263230,91,63
263230,100,72
263230,101,74
263230,98,69
263231,108,79
263240,201,165
263240,103,73
263240,107,79
263240,107,79
263240,105,76
263240,106,78
263240,91,63
263240,100,72
263240,98,70
263240,102,73
263250,201,165
263250,103,73
263250,108,79
263250,106,78
263250,104,76
263250,106,78
263250,91,63
263250,100,72
263250,102,74
263250,98,70
263260,201,165
263260,103,73
263260,109,79
263260,108,79
263260,103,74
263260,108,79
263260,91,63
263260,100,72
263260,102,74
263260,98,69
263270,200,165
263270,103,73
263270,108,79
263270,107,80
263270,104,76
263270,106,77
263270,91,63
263270,100,72
263270,101,74
263270,99,70
263280,201,165
263280,103,73
263280,107,78
263280,102,73
263280,112,83
263280,110,81
263280,100,72
263280,103,75
263280,109,80
263280,106,77
263290,200,165
263290,103,73
263290,109,79
263290,106,78
263290,104,76
263290,106,78
263290,91,63
263290,100,72
263290,102,74
263290,99,71
263300,201,165
263300,103,73
263300,107,79
263300,108,80
263300,104,75
263300,107,78
263300,91,62
263300,100,72
263300,102,74
263300,98,70
263310,200,165
263310,103,73
263310,107,79
263310,98,71
263310,111,82
263310,107,79
263310,91,62
263310,101,72
263310,102,74
263310,103,74
263320,201,165
263320,104,73
263320,108,79
263320,107,79
263320,104,75
263320,107,78
263320,91,63
263320,100,72
263320,102,74
263320,98,70
263330,200,165
263330,103,73
263330,108,79
263330,106,79
263330,104,76
263330,106,78
263330,91,63
263330,100,72
263330,101,74
263330,99,70
263340,201,165
263340,103,73
263340,109,79
263340,107,78
263340,104,75
263340,107,78
263340,91,62
263340,100,71
263340,102,74
263340,98,69
263350,200,165
263350,103,73
263350,108,79
263350,108,79
263350,103,75
263350,106,78
263350,91,63
263350,100,72
263350,101,74
263350,98,70
263351,107,78
263360,201,165
263360,104,73
263360,108,79
263360,107,79
263360,104,75
263360,107,78
263360,91,63
263360,99,70
263360,103,75
263360,98,69
263370,200,165
263370,103,73
263370,107,79
263370,99,70
263370,111,82
263370,107,78
263370,91,62
263370,100,71
263370,103,74
263370,103,74
263380,201,165
263380,103,73
263380,108,79
263380,108,79
263380,99,71
263380,109,80
263380,92,63
263380,99,71
263380,101,74
263380,103,75
263390,200,165
263390,103,73
263390,108,79
263390,107,79
263390,104,75
263390,106,77
263390,91,64
263390,100,72
263390,102,74
263390,99,70
263400,201,165
263400,104,73
263400,107,79
263400,108,79
263400,104,75
263400,106,78
263400,92,63
263400,100,72
263400,102,74
263400,98,69
263410,200,165
263410,103,73
263410,107,79
263410,108,79
263410,104,75
263410,106,78
263410,91,63
263410,101,72
263410,100,72
263410,100,72
263420,201,165
263420,104,73
263420,109,79
263420,107,79
263420,104,75
263420,107,77
263420,91,63
263420,100,72
263420,103,74
263420,98,69
263430,200,165
263430,103,73
263430,109,79
263430,107,79
263430,104,75
263430,106,77
263430,91,63
263430,100,72
263430,102,74
263430,98,70
263440,201,166
263440,103,73
263440,108,79
263440,108,79
263440,104,75
263440,107,78
263440,91,62
263440,100,72
263440,101,74
263440,98,69
263450,200,165
263450,103,73
263450,107,79
263450,100,72
263450,112,83
263450,109,81
263450,101,73
263450,103,74
263450,109,80
263450,106,77
263460,201,165
263460,103,73
263460,107,79
263460,108,79
263460,104,75
263460,107,78
263460,91,62
263460,100,72
263460,102,74
263460,98,69
263470,200,165
263470,103,73
263470,108,79
263470,107,79
263470,104,75
263470,106,78
263470,91,63
263470,100,71
263470,102,74
263470,98,70
263480,201,165
263480,104,73
263480,109,79
263480,107,78
263480,104,75
263480,107,78
263480,91,63
263480,100,71
263480,104,75
263480,98,69
263490,200,165
263490,103,73
263490,107,79
263490,108,79
263490,104,75
263490,106,77
263490,91,63
263490,100,72
263490,102,74
263490,103,75
263500,201,165
263500,104,73
263500,107,79
263500,107,79
263500,100,71
263500,109,80
263500,91,63
263500,100,71
263500,102,74
263500,104,75
263510,200,165
263510,103,73
263510,107,79
263510,108,79
263510,104,75
263510,106,77
263510,91,63
263510,100,72
263510,102,74
263510,98,70
263520,201,165
263520,103,73
263520,108,79
263520,108,79
263520,104,75
263520,107,78
263520,91,62
263520,100,72
263520,102,74
263520,98,69
263530,200,165
263530,103,73
263530,108,79
263530,107,79
263530,104,75
263530,106,78
263530,91,63
263530,100,72
263530,100,72
263530,101,72
263540,201,165
263540,104,73
263540,108,79
263540,108,79
263540,104,75
263540,106,77
263540,92,63
263540,100,72
263540,102,74
263540,98,69
263554,201,165
263560,201,165
263560,103,73
263560,109,79
263560,99,70
263560,108,79
263560,109,80
263560,91,63
263560,111,82
263560,109,81
