time, left_gate_raw, right_gate_raw
1009040,201,161
1009040,104,71
1009040,101,69
1009040,93,62
1009040,106,75
1009040,108,76
1009040,104,73
1009040,110,78
1009040,101,70
1009040,109,78
1009050,200,161
1009050,104,71
1009050,100,69
1009050,93,62
1009050,106,75
1009050,107,76
1009050,104,73
1009050,110,78
1009050,101,70
1009050,109,78
1009060,201,161
1009060,105,72
1009060,101,69
1009060,93,62
1009060,106,75
1009060,108,76
1009060,104,73
1009060,110,78
1009060,101,70
1009060,108,78
1009070,200,161
1009070,104,71
1009070,100,69
1009070,93,62
1009070,106,75
1009070,106,76
1009070,104,73
1009070,110,77
1009070,101,70
1009070,109,78
1009080,201,161
1009080,104,71
1009080,101,69
1009080,93,62
1009080,99,68
1009080,107,75
1009080,112,81
1009080,110,79
1009080,102,70
1009080,103,72
1009090,200,161
1009090,104,72
1009090,100,69
1009090,92,62
1009090,106,75
1009090,108,77
1009090,104,73
1009090,110,79
1009090,100,69
1009090,101,70
1009100,201,161
1009100,105,71
1009100,100,69
1009100,92,62
1009100,107,75
1009100,107,77
1009100,105,73
1009100,110,78
1009100,101,70
1009100,103,73
1009110,200,161
1009110,105,72
1009110,100,69
1009110,92,62
1009110,104,74
1009110,102,71
1009110,112,81
1009110,110,77
1009110,102,71
1009110,103,72
1009120,201,161
1009120,104,72
1009120,101,69
1009120,92,62
1009120,106,76
1009120,108,77
1009120,104,73
1009120,110,79
1009120,102,70
1009120,110,78
1009130,200,161
1009130,104,71
1009130,100,69
1009130,92,62
1009130,106,75
1009130,107,77
1009130,105,73
1009130,110,78
1009130,102,70
1009130,108,78
1009140,201,161
1009140,105,72
1009140,100,69
1009140,92,62
1009140,106,75
1009140,107,77
1009140,104,72
1009140,110,78
1009140,101,70
1009140,109,78
1009150,200,161
1009150,104,72
1009150,100,69
1009150,92,62
1009150,105,76
1009150,108,77
1009150,104,73
1009150,110,79
1009150,102,71
1009150,110,78
1009160,201,161
1009160,105,71
1009160,100,69
1009160,92,62
1009160,99,68
1009160,107,76
1009160,112,81
1009160,110,78
1009160,102,71
1009160,103,72
1009170,200,161
1009170,105,72
1009170,100,69
1009170,93,62
1009170,107,76
1009170,106,76
1009170,105,74
1009170,110,78
1009170,100,68
1009170,108,78
1009180,201,161
1009180,105,72
1009180,101,69
1009180,93,62
1009180,106,75
1009180,107,77
1009180,105,74
1009180,110,78
1009180,102,70
1009180,105,72
1009190,200,161
1009190,105,72
1009190,100,69
1009190,93,62
1009190,104,75
1009190,102,71
1009190,101,70
1009190,92,61
1009190,91,61
1009190,91,61
1009190,90,60
1009200,201,161
1009200,105,72
1009200,101,69
1009200,93,62
1009200,106,77
1009200,108,77
1009200,104,73
1009200,110,79
1009200,102,71
1009200,103,72
1009210,200,161
1009210,105,72
1009210,100,69
1009210,93,62
1009210,105,76
1009210,108,77
1009210,104,73
1009210,110,79
1009210,102,71
1009210,103,73
1009220,201,162
1009220,105,72
1009220,101,69
1009220,93,62
1009220,106,76
1009220,107,76
1009220,101,70
1009220,109,78
1009220,102,70
1009220,104,73
1009230,200,161
1009230,105,72
1009230,100,69
1009230,93,62
1009230,106,76
1009230,107,77
1009230,104,73
1009230,110,79
1009230,102,70
1009230,104,72
1009240,201,161
1009240,104,71
1009240,101,70
1009240,93,62
1009240,106,75
1009240,109,79
1009240,105,74
1009240,110,78
1009240,101,70
1009240,107,76
1009250,200,161
1009250,105,72
