time,ch0_left_gate_raw,ch0_right_gate_raw,ch1_left_gate_raw,ch1_right_gate_raw,ch2_left_gate_raw,ch2_right_gate_raw,ch3_left_gate_raw,ch3_right_gate_raw,ch4_left_gate_raw,ch4_right_gate_raw,ch5_left_gate_raw,ch5_right_gate_raw,ch6_left_gate_raw,ch6_right_gate_raw,ch7_left_gate_raw,ch7_right_gate_raw
40956,225,166,199,223,210,183,223,226,234,199,218,246,227,219,225,227
40966,216,161,193,216,205,180,218,219,234,199,218,245,224,218,223,225
40976,225,166,199,223,210,183,223,226,234,199,218,246,227,219,225,227
40986,216,161,193,216,205,180,218,219,234,199,218,245,224,218,223,225
40996,225,166,199,223,210,183,223,226,234,199,218,246,227,219,225,227
41006,217,162,193,216,205,180,219,219,234,199,218,245,224,218,223,225
41016,225,166,199,223,210,182,223,226,234,199,218,246,227,219,225,227
41026,217,162,193,216,205,180,218,219,234,199,218,245,224,218,223,225
41036,225,166,199,222,210,182,223,226,234,199,218,246,227,219,225,227
41046,217,162,193,216,206,180,219,220,234,199,218,245,224,218,223,225
41056,225,166,199,223,210,183,223,225,234,199,218,246,227,219,225,227
41066,216,161,193,216,205,180,218,219,234,199,218,245,224,218,223,225
41076,225,166,199,223,210,183,224,226,234,199,218,246,227,219,225,227
41086,217,162,193,216,206,180,219,219,234,199,218,245,224,218,223,225
41096,225,166,199,223,210,183,223,225,234,199,218,246,227,219,225,227
41106,217,162,193,216,205,180,219,219,234,199,218,245,224,218,223,225
41116,225,166,199,223,210,183,223,225,234,199,218,246,227,219,225,227
41126,217,162,193,216,206,180,219,220,234,199,218,245,224,218,223,225
41136,225,166,199,223,210,183,223,225,234,199,218,246,227,219,225,227
41146,217,162,193,216,205,180,219,220,234,199,218,245,224,218,223,225
41156,225,166,199,222,210,183,223,225,233,199,218,246,227,219,225,227
41166,217,162,194,217,206,180,219,221,234,199,219,245,224,218,223,225
41176,225,166,199,222,209,182,222,224,233,199,218,246,227,219,226,228
41186,217,162,194,217,206,180,219,221,235,200,219,245,224,218,223,225
41196,225,166,199,222,209,182,222,224,232,199,219,246,227,219,225,228
41206,217,162,194,217,206,180,220,221,235,200,218,245,224,218,223,225
41216,225,166,198,222,209,182,222,224,232,199,219,246,227,219,225,228
41226,217,162,194,217,206,180,219,221,234,199,218,245,224,218,223,225
41236,225,166,198,222,209,182,222,224,232,199,218,246,227,219,225,228
41246,217,162,194,217,206,180,219,221,234,199,218,245,224,218,223,225
41256,225,166,198,222,209,182,222,224,232,199,219,246,227,219,225,228
41266,217,162,194,218,206,180,219,221,234,199,218,245,223,218,223,225
41276,225,166,198,222,209,182,222,224,233,199,218,246,227,219,225,228
41286,217,162,194,217,206,180,220,221,234,199,219,245,224,218,223,225
41296,225,166,198,221,209,182,222,224,232,199,218,246,227,219,225,227
41306,217,162,194,217,206,180,219,221,234,199,218,245,224,218,223,225
41316,224,165,198,222,209,182,222,224,233,199,218,247,227,219,225,227
41326,217,162,194,217,206,180,219,221,235,199,219,245,224,218,223,225
41336,225,166,199,222,209,182,222,224,233,199,219,247,227,219,225,228
41346,217,162,194,217,206,180,219,221,234,199,219,245,224,218,223,225
41356,225,166,199,222,209,182,222,224,234,199,219,246,227,219,225,228
41366,217,162,194,217,206,180,219,221,234,199,218,245,224,218,223,225
41376,225,166,199,222,209,182,222,224,233,199,218,246,227,219,225,227
41386,217,162,194,217,206,180,220,221,234,199,219,245,224,218,223,225
41396,225,166,199,222,209,182,222,224,233,199,218,246,227,219,225,228
41406,217,162,194,217,206,180,219,221,235,200,219,245,224,218,223,225
41416,225,166,199,222,209,182,222,224,233,199,218,246,227,219,225,228
41426,217,162,194,217,206,180,219,221,234,199,219,245,224,218,223,225
41436,225,166,199,222,209,182,223,224,233,199,218,246,227,219,225,228
41446,217,162,194,217,206,180,219,221,234,199,219,245,224,218,223,225
41456,225,166,199,222,210,182,223,225,234,199,218,246,227,219,225,228
41466,217,162,193,216,206,180,219,220,234,199,218,245,224,218,223,225
41476,225,166,199,223,210,183,223,225,234,199,218,246,227,219,225,227
41486,217,162,193,216,206,180,219,220,234,199,218,245,224,218,223,225
41496,225,166,199,223,210,183,223,226,234,199,218,246,227,219,225,227
41506,217,162,193,216,206,180,219,220,234,199,218,246,224,218,224,225
41516,225,166,199,223,210,183,223,225,234,199,218,246,227,219,225,227
41526,217,162,194,216,206,180,219,220,234,199,218,245,224,218,223,225
41536,225,166,199,223,210,183,223,225,234,199,218,246,227,219,225,227
41546,217,162,193,216,206,180,219,220,234,199,218,245,224,218,224,225
41556,225,166,199,223,210,183,223,225,234,199,218,246,227,219,225,227
41566,217,162,193,216,206,180,219,220,234,199,218,246,224,218,224,225
41576,225,166,199,223,209,183,223,225,234,199,218,246,227,219,225,228
41586,217,162,193,216,206,180,219,220,234,199,218,246,224,218,224,225
41596,225,166,199,223,210,183,223,225,234,199,218,246,227,219,225,227
41606,216,161,193,216,206,180,219,220,234,199,218,246,224,218,224,225
41616,225,166,200,223,210,183,223,226,235,200,218,246,227,219,225,227
41626,217,162,193,216,206,180,218,219,234,199,218,246,224,218,224,225
41636,225,166,199,223,210,183,223,226,235,200,218,246,226,219,225,227
41646,216,161,193,216,206,180,218,219,234,199,218,246,224,218,224,225
41656,225,166,199,223,210,183,223,226,235,200,218,246,226,219,225,227
41666,216,161,193,216,206,180,218,219,234,199,219,246,224,218,224,225
41676,225,166,200,223,210,183,223,226,235,200,218,246,226,219,225,227
41686,216,161,193,215,206,180,219,219,233,199,219,246,225,218,224,225
41696,225,166,200,223,210,183,223,226,234,199,219,246,227,219,225,227
41706,216,161,193,216,206,180,218,219,233,199,218,246,225,218,224,225
41716,225,166,200,223,210,183,223,226,235,200,219,246,227,219,225,227
41726,216,161,193,216,206,180,218,219,233,199,219,246,225,218,224,225
41736,225,166,200,223,210,183,223,226,235,200,218,246,226,219,225,227
41746,216,161,193,216,205,180,218,219,233,199,219,246,225,218,224,225
41756,225,166,200,223,210,183,223,226,235,200,219,245,227,219,225,227
41766,216,161,193,216,206,180,218,219,233,199,219,246,225,218,224,225
41776,226,166,201,223,210,183,223,226,235,200,219,246,226,218,225,227
41786,216,161,193,215,206,180,218,219,233,199,219,246,225,218,224,225
41796,226,166,201,223,210,183,223,226,235,200,219,246,226,219,225,227
41806,216,161,193,216,206,180,218,219,233,199,219,246,225,218,224,225
41816,226,166,201,223,210,183,223,226,235,200,219,246,226,219,225,227
41826,216,161,193,216,205,180,218,219,233,199,219,246,225,218,224,225
41836,226,167,200,224,210,183,224,226,235,200,219,246,226,219,225,227
41846,216,161,193,216,205,180,218,219,233,199,219,246,225,218,224,225
41856,226,167,200,223,210,183,223,226,235,200,219,246,226,219,225,227
41866,216,161,193,215,205,180,218,219,233,199,218,246,225,218,224,225
41876,226,166,201,223,210,183,223,226,235,200,219,246,226,219,225,227
41886,216,161,193,215,205,180,218,219,233,199,219,246,225,218,224,225
41896,226,166,201,224,210,183,223,226,235,200,219,246,226,219,225,227
41906,216,161,193,215,206,180,218,219,233,198,219,246,225,218,224,225
41916,226,166,201,223,210,183,223,226,235,200,217,245,226,219,225,227
41926,216,161,193,215,205,180,218,219,233,198,219,246,225,218,224,226
41936,226,167,200,224,210,183,224,226,235,200,218,246,226,219,225,227
41946,216,161,193,215,205,180,218,219,233,198,219,246,225,219,224,226
41956,226,166,201,224,210,183,223,226,235,200,218,245,226,219,225,227
41966,216,161,193,215,205,180,218,219,233,198,218,246,225,219,224,226
41976,226,166,201,224,210,183,223,226,235,200,218,245,226,219,225,227
41986,216,161,193,215,205,180,218,219,233,198,219,246,225,219,224,225
41996,226,167,200,223,210,183,223,226,235,200,218,245,226,219,225,227
42006,216,161,193,215,205,180,218,219,232,199,219,246,225,219,224,226
42016,226,167,200,224,210,183,224,226,235,200,217,245,226,219,225,227
42026,216,161,193,215,205,180,218,219,233,198,219,246,225,219,224,225
42036,226,167,200,224,210,183,224,226,235,200,217,245,226,219,225,227
42046,216,161,193,215,205,180,218,219,233,198,219,246,225,219,224,226
42056,226,166,201,224,210,183,223,226,235,200,217,245,226,219,225,227
42066,216,161,193,215,205,180,218,219,233,198,219,246,225,219,224,226
42076,226,166,201,224,210,183,224,226,235,200,217,245,226,219,225,227
42086,216,161,193,215,205,180,218,219,233,198,219,246,225,219,224,226
42096,226,167,200,224,210,183,224,227,235,200,217,245,226,219,225,227
42111,216,161,193,215,205,180,218,219,240,203,219,246,225,219,224,226
42121,220,163,195,218,207,181,220,220,228,196,222,250,224,221,227,230
42131,221,164,197,221,208,182,222,224,240,203,216,242,222,217,222,223
42141,220,163,195,218,207,181,220,221,228,196,222,250,224,220,227,230
42151,221,164,197,221,208,182,222,224,240,202,216,242,222,217,222,223
42161,220,163,195,218,207,181,220,221,228,196,223,250,224,220,227,230
42171,221,164,197,221,208,181,222,224,240,203,216,242,222,217,222,222
42181,220,163,195,218,207,181,220,221,228,196,222,250,224,220,227,230
42191,221,164,197,221,208,182,222,224,240,203,216,242,222,217,222,223
42201,220,163,195,218,207,181,220,220,228,196,222,250,224,220,227,230
42211,221,164,197,221,208,182,222,224,240,203,216,242,222,217,222,223
42221,220,163,196,218,207,181,220,221,227,196,222,250,224,220,227,230
42231,221,164,197,221,208,182,222,224,240,203,215,242,222,217,222,223
42241,220,163,195,218,207,181,220,221,228,196,222,250,224,220,227,230
42251,221,164,197,221,208,182,222,225,240,203,216,242,222,217,222,223
42261,220,163,194,217,207,181,219,220,228,196,222,250,224,220,227,230
42271,222,165,198,221,208,182,222,225,240,203,216,242,222,217,222,223
42281,219,163,196,217,206,181,219,220,228,196,222,250,224,220,227,230
42291,222,165,198,222,208,182,222,225,240,203,216,242,222,217,222,223
42301,219,163,196,217,207,181,219,220,228,196,222,250,224,220,227,230
42311,222,165,198,222,208,182,222,225,240,203,216,242,222,217,222,223
42321,219,163,196,217,207,181,219,220,228,196,222,250,224,220,227,230
42331,222,165,198,222,208,182,222,225,240,203,216,242,222,217,222,223
42341,220,163,195,217,207,181,219,220,228,196,222,250,224,220,227,230
42351,222,165,198,222,209,182,222,225,240,203,216,242,222,218,222,223
42361,219,163,196,217,207,181,219,220,228,196,222,250,224,220,227,230
42371,222,165,198,222,209,182,222,225,239,202,216,242,222,217,222,223
42381,219,163,196,217,206,180,219,220,229,196,222,250,224,220,227,230
42391,223,165,199,222,208,182,222,225,240,203,215,242,222,217,222,223
42401,219,163,196,217,207,181,219,221,229,196,222,250,224,220,227,230
42411,222,165,198,222,208,182,222,225,239,202,215,242,222,217,222,223
42421,219,163,196,217,207,181,219,221,229,196,222,250,224,220,227,230
42431,222,165,198,222,208,182,222,225,240,203,215,242,222,217,222,223
42441,219,163,196,217,207,181,219,221,229,196,222,250,224,220,227,230
42451,222,165,198,222,209,182,222,226,240,203,215,242,222,217,222,223
42461,219,163,196,217,207,181,219,221,229,196,222,250,224,220,227,230
42471,222,165,198,222,208,182,222,226,240,202,215,242,222,217,222,223
42481,219,163,196,217,207,180,220,221,229,196,223,250,224,220,227,230
42491,222,165,198,222,208,182,223,226,240,203,214,242,222,217,222,223
42501,219,163,196,217,207,181,219,221,229,196,222,250,224,220,227,230
42511,222,165,198,222,208,182,223,225,240,203,215,242,222,217,222,223
42521,219,163,196,217,207,180,220,221,228,196,222,250,224,220,227,230
42531,222,165,198,222,209,182,223,225,240,203,216,242,221,217,222,223
42541,219,163,196,217,207,181,219,221,229,196,222,250,224,220,227,230
42551,222,165,198,222,209,182,223,225,240,203,215,242,222,217,222,223
42561,219,163,196,217,207,181,219,221,229,196,221,250,224,220,227,230
42571,222,165,198,222,209,182,222,225,239,202,215,242,222,217,222,223
42581,220,163,195,217,207,181,219,220,229,196,222,250,224,220,227,230
42591,222,164,198,221,208,182,222,224,240,203,215,242,222,217,222,223
42601,221,164,196,218,207,181,220,221,229,196,221,250,224,220,227,230
42611,222,165,198,222,208,182,222,224,240,203,215,242,222,217,222,223
42621,220,163,195,217,207,181,219,220,229,196,222,250,224,220,227,230
42631,222,165,198,222,208,182,222,224,240,203,215,242,222,217,222,223
42641,220,163,195,217,207,181,219,220,229,196,222,250,224,220,227,230
42651,222,165,198,221,208,182,222,224,240,202,215,242,222,217,222,223
42661,220,163,195,217,207,181,219,220,229,196,223,250,224,220,227,230
42671,222,164,199,221,208,182,222,224,240,203,215,242,222,217,222,223
42681,218,156,195,217,208,176,221,221,228,196,222,250,224,220,227,230
42691,221,164,197,221,208,181,222,224,240,203,216,242,222,217,222,223
42701,220,163,195,217,207,181,219,220,228,196,222,250,224,220,227,230
42711,222,164,199,221,208,182,222,224,240,203,216,242,222,217,222,223
