time, ch0_left_gate_raw, ch0_right_gate_raw, ch1_left_gate_raw, ch1_right_gate_raw, ch2_left_gate_raw, ch2_right_gate_raw, ch3_left_gate_raw, ch3_right_gate_raw
15610,301,262,1131,1018,270,222,266,248
15611,312,273,793,656,263,221,268,248
15620,299,261,1132,995,269,221,263,246
15621,311,271,771,645,261,220,266,247
15630,301,262,1134,1016,270,222,266,248
15631,312,272,785,650,262,220,267,248
15640,299,260,1127,1006,269,221,263,246
15641,311,272,776,654,261,220,267,247
15650,301,262,1134,1028,270,222,266,248
15651,313,273,789,662,263,221,268,248
15660,299,260,1126,1006,269,222,263,246
15661,312,272,779,656,262,220,266,247
15670,301,262,1135,1035,270,222,266,248
15671,313,273,787,661,263,221,268,248
15680,300,261,1127,994,269,221,263,246
15681,312,272,776,647,261,220,266,247
15690,301,262,1134,1020,270,222,266,248
15691,313,272,788,653,263,221,268,248
15700,299,260,1132,996,269,221,263,247
15701,312,271,779,648,262,219,266,247
15710,301,262,1135,1018,270,222,266,248
15711,312,273,789,654,263,221,268,248
15720,300,261,1130,994,269,221,263,247
15721,312,271,776,649,262,220,266,247
15730,301,262,1136,1020,270,222,266,248
15731,313,273,778,651,262,220,267,248
15740,300,261,1133,994,269,221,263,246
15741,312,272,772,646,261,220,266,247
15750,301,262,1134,1019,270,222,266,248
15751,312,273,782,651,262,220,268,248
15760,300,260,1136,998,269,221,263,246
15761,312,272,776,648,262,220,266,247
15770,301,262,1134,1019,270,222,266,248
15771,313,273,785,651,263,220,268,248
15780,300,261,1133,996,268,221,263,247
15781,312,272,776,647,261,220,266,247
15790,301,263,1137,1020,270,222,266,248
15791,313,272,788,652,262,221,268,248
15800,299,260,1130,994,269,221,263,246
15801,312,271,782,651,262,220,267,247
15810,301,262,1132,1016,270,222,266,248
15811,312,273,781,650,262,221,268,248
15820,299,261,1133,995,269,222,263,246
15821,312,271,771,646,261,220,266,247
15830,301,262,1136,1023,270,222,266,248
15831,313,273,785,654,262,221,268,248
15840,299,261,1132,993,269,221,263,247
15841,312,272,778,647,262,220,266,247
15850,302,262,1135,1020,270,222,266,248
15851,313,273,789,652,263,221,268,248
15860,300,260,1136,996,269,221,263,247
15861,312,271,779,650,262,221,266,247
15870,301,262,1135,1023,270,222,265,248
15871,313,273,789,653,263,221,268,248
15880,299,261,1137,994,269,221,263,247
15881,312,271,780,648,262,220,267,247
15890,302,262,1137,1021,270,222,266,248
15891,311,273,777,653,262,220,267,248
15900,299,260,1135,996,269,221,263,246
15901,311,272,776,645,262,220,266,247
15910,302,262,1137,1021,270,222,265,248
15911,313,273,786,652,262,221,268,248
15920,299,260,1135,996,269,221,263,246
15921,312,271,774,649,261,220,266,247
15930,301,262,1137,1021,270,222,266,248
15931,312,272,791,655,263,221,268,248
15940,299,260,1140,995,269,221,263,247
15941,312,271,779,649,262,220,267,247
15950,301,262,1137,1021,270,222,266,248
15951,313,272,783,651,262,220,268,248
15960,300,260,1134,996,269,221,263,247
15961,312,272,785,652,262,220,267,247
15970,302,262,1137,1022,270,222,265,248
15971,313,273,778,651,262,220,267,248
15980,300,261,1140,995,268,221,263,247
15981,311,271,772,644,261,219,266,247
15990,301,262,1135,1019,270,222,265,248
15991,313,273,788,653,263,221,268,248
16000,299,260,1136,995,269,221,263,247
16001,312,272,783,651,262,220,267,247
16010,301,262,1137,1019,270,222,265,248
16011,313,273,791,654,263,221,268,248
16020,300,260,1134,996,268,221,263,246
16021,311,271,778,645,262,220,266,247
16030,301,262,1138,1014,270,222,266,248
16031,312,273,783,649,262,220,267,248
16040,299,260,1134,994,268,221,263,247
16041,312,271,780,648,262,220,266,247
16050,301,262,1137,1018,270,222,266,248
16051,312,273,782,650,262,220,267,248
