time, ch0_left_gate_raw, ch0_right_gate_raw, ch1_left_gate_raw, ch1_right_gate_raw, ch2_left_gate_raw, ch2_right_gate_raw, ch3_left_gate_raw, ch3_right_gate_raw
98900,302,230,801,793,263,219,288,287
98901,295,228,883,839,259,216,282,281
98910,308,234,737,738,264,220,291,289
98911,296,229,898,849,261,217,284,283
98920,307,230,818,806,263,218,288,287
98921,294,228,883,838,259,216,282,281
98930,305,233,781,775,264,219,290,289
98931,297,229,898,852,261,217,284,283
98940,302,230,800,791,263,218,288,287
98941,295,228,882,838,259,216,281,281
98950,308,238,746,747,264,220,290,289
98951,297,229,898,853,260,217,284,283
98960,307,230,816,805,263,218,288,287
98961,295,228,883,838,259,216,281,281
98970,309,231,819,805,264,219,290,288
98971,296,229,898,850,261,217,284,283
98980,307,230,804,795,263,219,288,287
98981,294,228,881,838,259,216,281,281
98990,304,231,812,799,264,219,290,288
98991,297,229,900,851,261,217,284,283
99000,302,230,801,790,263,218,288,287
99001,295,228,883,838,259,216,281,281
99010,308,231,822,809,264,219,290,288
99011,297,229,899,852,261,217,284,283
99020,303,230,803,790,263,218,288,287
99021,295,228,883,838,259,216,282,281
99030,308,234,741,742,264,220,290,289
99031,297,229,898,849,261,217,284,283
99040,303,233,854,833,262,218,288,286
99041,295,228,883,838,259,216,281,281
99050,304,231,816,802,264,219,290,288
99051,296,229,900,851,261,217,284,283
99060,307,233,823,809,262,218,288,287
99061,295,228,882,837,259,216,281,281
99070,303,233,869,842,263,219,289,287
99071,297,229,901,852,261,217,284,283
99080,303,231,794,785,263,219,288,287
99081,295,228,881,838,259,216,281,281
99090,304,231,815,802,264,219,290,288
99091,297,229,899,853,261,217,284,283
99100,302,230,802,791,263,219,288,287
99101,295,228,881,838,259,216,282,281
99110,307,235,747,747,264,220,290,289
99111,296,229,899,850,261,217,284,283
99120,303,230,797,789,263,219,288,287
99121,295,228,883,838,259,216,281,281
99130,306,233,787,780,264,219,290,288
99131,297,229,898,851,261,217,284,283
99140,307,233,823,809,262,218,288,287
99141,295,228,882,838,259,216,281,281
99150,309,231,827,812,263,219,290,288
99151,296,229,901,854,261,217,284,283
99160,301,232,859,835,262,218,288,286
99161,294,228,886,840,259,216,281,281
99170,308,234,742,743,264,220,290,289
99171,297,229,899,849,261,217,284,283
99180,307,230,807,796,263,218,288,287
99181,295,228,881,840,259,216,281,280
