time,ch0_delta,ch1_delta,ch2_delta,ch3_delta,ch4_delta,ch5_delta,ch6_delta,ch7_delta
6.005,51.95500000000001,-19.92833333333334,46.16,-10.223333333333358,43.55500000000001,-34.609999999999985,38.17166666666665,6.851666666666631
6.015,51.961666666666645,-19.913333333333327,46.10499999999999,-10.223333333333358,43.55166666666668,-34.60833333333335,38.17500000000001,6.851666666666688
6.025,51.96833333333336,-19.916666666666686,46.06666666666666,-10.21666666666664,43.55333333333334,-34.60666666666668,38.17166666666665,6.849999999999966
6.035,51.974999999999966,-19.896666666666647,46.00999999999999,-10.216666666666697,43.55333333333334,-34.60666666666668,38.17500000000001,6.851666666666688
6.045,51.985000000000014,-19.89833333333334,45.971666666666664,-10.211666666666702,43.55500000000001,-34.60666666666668,38.17166666666665,6.849999999999966
6.055,51.99333333333337,-19.886666666666656,45.91333333333333,-10.20999999999998,43.55333333333334,-34.60666666666668,38.17500000000001,6.850000000000023
6.065,51.99833333333336,-19.87833333333333,45.879999999999995,-10.203333333333319,43.55500000000001,-34.60333333333335,38.17166666666665,6.84499999999997
6.075,52.00666666666669,-19.86499999999998,45.81999999999999,-10.20166666666671,43.55166666666668,-34.60833333333335,38.17166666666668,6.845000000000027
6.085,52.01666666666668,-19.866666666666674,45.781666666666666,-10.196666666666658,43.55333333333334,-34.60833333333335,38.168333333333294,6.84166666666664
6.095,52.025000000000006,-19.856666666666655,45.721666666666664,-10.194999999999993,43.55333333333334,-34.610000000000014,38.17166666666668,6.841666666666697
6.105,52.03333333333333,-19.860000000000014,45.68166666666667,-10.176666666666677,43.55500000000001,-34.610000000000014,38.16999999999996,6.84166666666664
6.115,52.041666666666686,-19.846666666666664,45.620000000000005,-10.175000000000011,43.55500000000001,-34.610000000000014,38.17166666666668,6.841666666666697
6.125,52.05166666666668,-19.849999999999994,45.58333333333334,-10.164999999999964,43.55666666666667,-34.610000000000014,38.168333333333294,6.839999999999975
6.135,52.061666666666696,-19.839999999999975,45.52333333333334,-10.164999999999964,43.55500000000001,-34.61166666666668,38.170000000000016,6.840000000000032
6.145,52.07166666666669,-19.843333333333334,45.48666666666665,-10.16166666666669,43.55666666666667,-34.613333333333344,38.16666666666663,6.840000000000032
6.155,52.08500000000001,-19.83166666666665,45.42666666666668,-10.16166666666669,43.55166666666668,-34.61500000000001,38.168333333333294,6.840000000000032
6.165,52.09833333333333,-19.835000000000008,45.38833333333335,-10.140000000000043,43.55500000000001,-34.61500000000001,38.164999999999964,6.8366666666667015
6.175,52.11166666666668,-19.823333333333323,45.326666666666654,-10.138333333333321,43.55333333333334,-34.61833333333334,38.16666666666663,6.8366666666667015
6.185,52.123333333333335,-19.830000000000013,45.28999999999999,-10.134999999999991,43.55500000000001,-34.61500000000001,38.1633333333333,6.831666666666706
6.195,52.13499999999999,-19.82166666666666,45.22666666666666,-10.133333333333326,43.55333333333334,-34.61500000000001,38.164999999999964,6.831666666666706
6.205,52.14833333333331,-19.826666666666682,45.18833333333333,-10.12833333333333,43.55500000000001,-34.61166666666668,38.1633333333333,6.826666666666711
6.215,52.16166666666666,-19.82000000000002,45.120000000000005,-10.126666666666665,43.55000000000001,-34.61166666666668,38.164999999999964,6.826666666666711
6.225,52.17499999999998,-19.82499999999999,45.08333333333334,-10.123333333333335,43.55166666666668,-34.610000000000014,38.16166666666663,6.82333333333338
6.235,52.18833333333333,-19.816666666666663,45.01833333333332,-10.123333333333335,43.55000000000001,-34.610000000000014,38.1633333333333,6.8233333333333235
6.245,52.201666666666654,-19.814999999999998,44.97999999999999,-10.101666666666688,43.55166666666668,-34.60833333333335,38.15999999999997,6.821666666666715
6.255,52.21333333333334,-19.808333333333337,44.91333333333333,-10.101666666666631,43.55166666666668,-34.60666666666668,38.1633333333333,6.821666666666658
6.265,52.22666666666666,-19.813333333333333,44.875,-10.080000000000041,43.55333333333334,-34.60500000000002,38.16166666666666,6.818333333333328
6.28,52.22666666666666,-19.811666666666667,44.87166666666664,-10.078333333333319,43.55000000000001,-34.60666666666668,38.164999999999964,6.818333333333328
6.29,52.23666666666668,-19.806666666666672,44.81666666666666,-10.074999999999989,43.55166666666668,-34.60333333333335,38.16333333333333,6.811666666666667
6.3,52.25666666666666,-19.829999999999984,44.76666666666668,-10.076666666666654,43.548333333333346,-34.60666666666668,38.16666666666663,6.813333333333333
6.31,52.26666666666665,-19.831666666666678,44.71000000000001,-10.073333333333323,43.55000000000001,-34.610000000000014,38.16499999999999,6.806666666666672
6.32,52.28666666666666,-19.855000000000018,44.66,-10.074999999999989,43.55000000000001,-34.61166666666668,38.16833333333332,6.811666666666667
6.33,52.29833333333332,-19.846666666666664,44.59833333333333,-10.073333333333323,43.55333333333334,-34.60833333333335,38.16499999999999,6.806666666666672
6.34,52.31999999999999,-19.86833333333331,44.54666666666668,-10.074999999999989,43.55000000000001,-34.60500000000002,38.16666666666666,6.803333333333342
6.35,52.33000000000001,-19.870000000000005,44.488333333333316,-10.073333333333323,43.55166666666668,-34.60333333333335,38.16166666666666,6.798333333333346
6.36,52.35166666666666,-19.89166666666668,44.43833333333333,-10.074999999999989,43.548333333333346,-34.603333333333325,38.16499999999999,6.8016666666666765
6.37,52.363333333333344,-19.88166666666669,44.383333333333354,-10.071666666666658,43.548333333333346,-34.60166666666669,38.16,6.796666666666681
6.38,52.38499999999999,-19.903333333333336,44.33166666666665,-10.069999999999993,43.545000000000016,-34.603333333333325,38.16166666666666,6.8016666666666765
6.39,52.39833333333334,-19.894999999999982,44.271666666666675,-10.068333333333328,43.54666666666668,-34.60333333333335,38.156666666666666,6.795000000000016
6.4,52.41999999999999,-19.919999999999987,44.218333333333334,-10.069999999999993,43.541666666666686,-34.60833333333335,38.1583333333333,6.798333333333346
6.41,52.43333333333334,-19.91166666666666,44.160000000000025,-10.068333333333328,43.541666666666686,-34.60666666666668,38.15166666666667,6.793333333333351
6.42,52.45666666666668,-19.935000000000002,44.106666666666655,-10.069999999999993,43.54000000000002,-34.60833333333332,38.15333333333331,6.796666666666681
6.43,52.47,-19.92500000000001,44.048333333333346,-10.068333333333328,43.54000000000002,-34.60666666666668,38.14999999999998,6.791666666666686
6.44,52.495000000000005,-19.948333333333352,43.99333333333334,-10.068333333333328,43.53666666666669,-34.60833333333332,38.15166666666664,6.795000000000016
6.45,52.51000000000002,-19.936666666666667,43.935,-10.066666666666663,43.53666666666669,-34.60666666666668,38.14833333333331,6.791666666666686
6.46,52.53333333333333,-19.95999999999998,43.879999999999995,-10.068333333333385,43.535000000000025,-34.610000000000014,38.14999999999998,6.795000000000016
6.47,52.548333333333346,-19.948333333333323,43.82000000000002,-10.066666666666663,43.535000000000025,-34.60500000000002,38.14499999999998,6.7900000000000205
6.48,52.57500000000002,-19.971666666666664,43.76666666666665,-10.068333333333328,43.52999999999997,-34.606666666666655,38.14666666666665,6.793333333333294
6.49,52.59,-19.956666666666678,43.70666666666668,-10.064999999999998,43.531666666666695,-34.60333333333335,38.14166666666665,6.788333333333355
6.5,52.616666666666674,-19.980000000000018,43.653333333333336,-10.066666666666663,43.52833333333331,-34.61166666666668,38.14333333333332,6.791666666666629
6.51,52.633333333333326,-19.96666666666667,43.589999999999975,-10.066666666666663,43.528333333333364,-34.610000000000014,38.139999999999986,6.784999999999968
6.52,52.65833333333333,-19.991666666666646,43.53333333333333,-10.064999999999998,43.52499999999998,-34.613333333333344,38.14166666666665,6.7883333333332985
6.53,52.67500000000001,-19.99333333333334,43.468333333333334,-10.066666666666663,43.5266666666667,-34.61166666666668,38.13833333333332,6.781666666666638
6.54,52.70166666666668,-20.01666666666668,43.413333333333355,-10.068333333333328,43.52333333333331,-34.61500000000001,38.14166666666665,6.784999999999968
6.55,52.71666666666667,-20.018333333333317,43.353333333333325,-10.068333333333328,43.5266666666667,-34.613333333333344,38.136666666666656,6.779999999999973
6.56,52.745000000000005,-20.039999999999992,43.29333333333332,-10.069999999999993,43.52333333333331,-34.616666666666674,38.139999999999986,6.784999999999968
6.57,52.765000000000015,-20.031666666666666,43.23000000000002,-10.069999999999993,43.52333333333337,-34.61500000000001,38.133333333333326,6.779999999999973
6.58,52.795000000000016,-20.05333333333334,43.17166666666665,-10.069999999999993,43.51833333333332,-34.61833333333334,38.133333333333326,6.783333333333303
6.59,52.81333333333333,-20.038333333333327,43.11166666666665,-10.069999999999993,43.51999999999998,-34.613333333333344,38.129999999999995,6.776666666666642
6.6,52.758333333333354,-20.03666666666666,43.07500000000002,-10.069999999999993,43.51666666666665,-34.61833333333334,38.129999999999995,6.779999999999973
6.61,52.785000000000025,-20.061666666666667,43.01666666666668,-10.068333333333328,43.51333333333332,-34.61500000000001,38.126666666666665,6.774999999999977
6.62,52.815000000000026,-20.085000000000008,42.958333333333314,-10.069999999999993,43.50999999999999,-34.61833333333334,38.129999999999995,6.778333333333308
6.63,52.8366666666667,-20.086666666666673,42.896666666666675,-10.069999999999993,43.50999999999999,-34.613333333333344,38.125,6.771666666666647
6.64,52.8666666666667,-20.109999999999985,42.83666666666667,-10.071666666666658,43.508333333333326,-34.613333333333344,38.129999999999995,6.774999999999977
6.65,52.88500000000002,-20.11166666666668,42.77666666666664,-10.071666666666658,43.50999999999999,-34.613333333333344,38.125,6.768333333333317
6.66,52.916666666666686,-20.13166666666669,42.71666666666667,-10.071666666666658,43.508333333333326,-34.61500000000001,38.12833333333333,6.771666666666647
6.67,52.936666666666696,-20.11833333333334,42.656666666666666,-10.071666666666715,43.50999999999999,-34.61166666666668,38.125,6.7666666666666515
6.68,52.96833333333336,-20.139999999999986,42.595,-10.071666666666715,43.50999999999999,-34.61500000000001,38.126666666666665,6.770000000000039
6.69,52.98666666666665,-20.14833333333334,42.53333333333333,-10.071666666666715,43.511666666666656,-34.613333333333344,38.12166666666667,6.764999999999986
6.7,53.01833333333337,-20.170000000000016,42.47333333333333,-10.071666666666658,43.508333333333326,-34.61166666666668,38.125,6.770000000000039
6.71,53.039999999999964,-20.155,42.413333333333355,-10.071666666666658,43.50999999999999,-34.60833333333335,38.12166666666667,6.7666666666666515
6.72,53.069999999999965,-20.178333333333313,42.353333333333325,-10.071666666666658,43.50666666666666,-34.613333333333344,38.123333333333335,6.770000000000039
6.73,53.093333333333305,-20.16166666666666,42.29333333333332,-10.071666666666658,43.508333333333326,-34.61166666666668,38.11833333333334,6.763333333333321
6.74,53.12499999999997,-20.183333333333337,42.23166666666668,-10.069999999999993,43.504999999999995,-34.616666666666674,38.11833333333334,6.766666666666708
6.75,53.14833333333331,-20.170000000000016,42.170000000000016,-10.069999999999993,43.50666666666666,-34.61500000000001,38.113333333333344,6.761666666666656
6.76,53.17999999999998,-20.198333333333352,42.10833333333332,-10.069999999999993,43.50333333333333,-34.620000000000005,38.11500000000001,6.766666666666708
6.77,53.20666666666665,-20.228333333333325,42.05000000000001,-10.069999999999993,43.501666666666665,-34.61833333333334,38.110000000000014,6.759999999999991
6.78,53.23666666666665,-20.25,41.98666666666668,-10.069999999999993,43.498333333333335,-34.61833333333334,38.113333333333344,6.763333333333378
6.79,53.25999999999999,-20.238333333333344,41.92666666666665,-10.069999999999993,43.50333333333333,-34.616666666666674,38.10666666666668,6.758333333333326
6.8,53.28999999999999,-20.26333333333332,41.86500000000001,-10.071666666666658,43.5,-34.62166666666667,38.10833333333335,6.759999999999991
6.81,53.313333333333304,-20.25,41.80333333333334,-10.071666666666658,43.501666666666665,-34.61500000000001,38.10666666666668,6.75333333333333
6.82,53.343333333333305,-20.275000000000006,41.741666666666646,-10.071666666666658,43.498333333333335,-34.620000000000005,38.10833333333335,6.7549999999999955
6.83,53.366666666666646,-20.306666666666672,41.68166666666667,-10.068333333333328,43.5,-34.61833333333334,38.10333333333335,6.75
6.84,53.39999999999998,-20.32833333333332,41.62166666666667,-10.068333333333328,43.49666666666667,-34.620000000000005,38.10666666666668,6.751666666666665
6.85,53.42499999999998,-20.314999999999998,41.56166666666667,-10.068333333333328,43.498333333333335,-34.61833333333334,38.10166666666669,6.744999999999948
6.86,53.454999999999984,-20.33833333333334,41.5,-10.068333333333385,43.495000000000005,-34.623333333333335,38.10333333333335,6.74666666666667
6.87,53.47999999999999,-20.366666666666646,41.43833333333333,-10.06666666666672,43.498333333333335,-34.620000000000005,38.10000000000002,6.743333333333339
6.88,53.50999999999999,-20.39166666666668,41.376666666666665,-10.066666666666663,43.495000000000005,-34.62166666666667,38.10333333333335,6.74666666666667
6.89,53.53333333333333,-20.42500000000001,41.31833333333333,-10.063333333333333,43.5,-34.620000000000005,38.09833333333336,6.741666666666674
6.9,53.563333333333304,-20.430000000000007,41.258333333333326,-10.063333333333333,43.495000000000005,-34.61833333333334,38.10166666666669,6.74666666666667
6.91,53.58833333333331,-20.420000000000016,41.19666666666669,-10.061666666666667,43.498333333333335,-34.61500000000001,38.09833333333336,6.741666666666674
6.92,53.61833333333331,-20.439999999999998,41.133333333333326,-10.061666666666667,43.49333333333334,-34.60500000000002,38.10000000000002,6.7450000000000045
